Task_ID,Target,Model,Accuracy_CV,F1_Macro_CV
Task 1,mixture_order,PLS-DA(5 LV),0.6567467604831385,0.5941777639809334
Task 1,mixture_order,Ridge(a=10),0.697235790977872,0.6569339677920617
Task 1,mixture_order,RF(n=100),0.6206122013386854,0.5624168389052567
Task 2,c_thiram,PLS-DA(5 LV),0.5285870091176055,0.4434759006049859
Task 2,c_thiram,Ridge(a=10),0.667998687783405,0.5126536627327192
Task 2,c_thiram,RF(n=100),0.5319399454908508,0.41281489485080564
Task 3,c_mg,PLS-DA(5 LV),0.47618961076627986,0.35447482375713474
Task 3,c_mg,Ridge(a=10),0.4615087913616042,0.38393832521199833
Task 3,c_mg,RF(n=100),0.4802063251899498,0.38159272502163977
Task 4,c_mba,PLS-DA(5 LV),0.5667321019668053,0.5174516674820148
Task 4,c_mba,Ridge(a=10),0.5750160252296745,0.5341554989593591
Task 4,c_mba,RF(n=100),0.6373845699465038,0.622592628391853
