Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T1_thiram_conc,Thiram Concentration,RF,p1,0,0.6321098351083883,0.6540276221003022,0.676056338028169
T1_thiram_conc,Thiram Concentration,RF,p1,1,0.646258421283208,0.7115116046418567,0.6532663316582915
T1_thiram_conc,Thiram Concentration,RF,p1,2,0.6430518534589635,0.6315384615384616,0.6313131313131313
T1_thiram_conc,Thiram Concentration,RF,p1,3,0.6783396489888893,0.7517408123791103,0.7365591397849462
T1_thiram_conc,Thiram Concentration,RF,p1,4,0.5634093135284333,0.5906402625152625,0.5632911392405063
T1_thiram_conc,Thiram Concentration,SVM,p1,0,0.7120857699805068,0.7009753603523882,0.7136150234741784
T1_thiram_conc,Thiram Concentration,SVM,p1,1,0.6773760175882817,0.7403801520608243,0.6733668341708543
T1_thiram_conc,Thiram Concentration,SVM,p1,2,0.6131565269723165,0.605496794871795,0.6060606060606061
T1_thiram_conc,Thiram Concentration,SVM,p1,3,0.7547273976179933,0.7830754352030947,0.7580645161290323
T1_thiram_conc,Thiram Concentration,SVM,p1,4,0.562168346449644,0.5611263736263736,0.5506329113924051
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,0,0.4666269222867792,0.5083770868975281,0.5352112676056338
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,1,0.6264955819022189,0.6933173269307723,0.6381909547738693
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,2,0.6035074395625439,0.5950801282051282,0.5959595959595959
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,3,0.6929737763279691,0.7661901157738346,0.6989247311827957
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,4,0.5680353113346472,0.5615270146520146,0.569620253164557
T2_mg_conc,MG Concentration,RF,p1,0,0.4689883800410115,0.4679144385026738,0.4694835680751174
T2_mg_conc,MG Concentration,RF,p1,1,0.564722128058386,0.5604320015133675,0.5628140703517588
T2_mg_conc,MG Concentration,RF,p1,2,0.3852789177686578,0.5183397683397684,0.4292929292929293
T2_mg_conc,MG Concentration,RF,p1,3,0.4470462804671455,0.4314677767499229,0.4247311827956989
T2_mg_conc,MG Concentration,RF,p1,4,0.4154034371425675,0.4012956240188383,0.4050632911392405
T2_mg_conc,MG Concentration,SVM,p1,0,0.4368923240938165,0.4373390770449594,0.4413145539906103
T2_mg_conc,MG Concentration,SVM,p1,1,0.3130735734601928,0.3112148022034181,0.3115577889447236
T2_mg_conc,MG Concentration,SVM,p1,2,0.3767341955191117,0.4983108108108108,0.4090909090909091
T2_mg_conc,MG Concentration,SVM,p1,3,0.2849898580121703,0.2989130434782608,0.3655913978494624
T2_mg_conc,MG Concentration,SVM,p1,4,0.4103982618688501,0.4034051216640502,0.3924050632911392
T2_mg_conc,MG Concentration,PLS-DA,p1,0,0.4079683994727963,0.4590017825311943,0.4460093896713615
T2_mg_conc,MG Concentration,PLS-DA,p1,1,0.3715780998389694,0.3987529540314589,0.4271356783919598
T2_mg_conc,MG Concentration,PLS-DA,p1,2,0.3237259143348061,0.4647683397683397,0.3686868686868687
T2_mg_conc,MG Concentration,PLS-DA,p1,3,0.2867513611615245,0.3528985507246377,0.3763440860215054
T2_mg_conc,MG Concentration,PLS-DA,p1,4,0.3327896451047503,0.3526123430141287,0.3860759493670886
T3_mba_conc,MBA Concentration,RF,p1,0,0.5909763755980861,0.5918015347363174,0.6572769953051644
T3_mba_conc,MBA Concentration,RF,p1,1,0.701712769021873,0.7139490204891438,0.7185929648241206
T3_mba_conc,MBA Concentration,RF,p1,2,0.5690395094052543,0.5669384057971015,0.5404040404040404
T3_mba_conc,MBA Concentration,RF,p1,3,0.3391219891219891,0.2887572533849129,0.3172043010752688
T3_mba_conc,MBA Concentration,RF,p1,4,0.8245805029401867,0.8675442684063374,0.7911392405063291
T3_mba_conc,MBA Concentration,SVM,p1,0,0.5820087423829041,0.5780935085282911,0.6291079812206573
T3_mba_conc,MBA Concentration,SVM,p1,1,0.615718801128525,0.6268843438722282,0.6331658291457286
T3_mba_conc,MBA Concentration,SVM,p1,2,0.5403850535429482,0.5679347826086957,0.5404040404040404
T3_mba_conc,MBA Concentration,SVM,p1,3,0.4146306002607151,0.3919970986460348,0.4193548387096774
T3_mba_conc,MBA Concentration,SVM,p1,4,0.8103021572104019,0.836439888164026,0.7721518987341772
T3_mba_conc,MBA Concentration,PLS-DA,p1,0,0.6245937177477606,0.637440355375138,0.6995305164319249
T3_mba_conc,MBA Concentration,PLS-DA,p1,1,0.7033380253509854,0.7345781782463306,0.7286432160804021
T3_mba_conc,MBA Concentration,PLS-DA,p1,2,0.4540169869117237,0.5602355072463768,0.5202020202020202
T3_mba_conc,MBA Concentration,PLS-DA,p1,3,0.3770308123249299,0.3594970986460348,0.4086021505376344
T3_mba_conc,MBA Concentration,PLS-DA,p1,4,0.6071510491645413,0.6564505392091599,0.5379746835443038
T4_thiram_pres,Thiram Presence,RF,p1,0,0.837399983035992,0.8434407364787112,0.8732394366197183
T4_thiram_pres,Thiram Presence,RF,p1,1,0.9340885002649708,0.9460544217687076,0.949748743718593
T4_thiram_pres,Thiram Presence,RF,p1,2,0.714710666976528,0.6770833333333334,0.8434343434343434
T4_thiram_pres,Thiram Presence,RF,p1,3,0.8582317073170731,0.8888888888888888,0.8602150537634409
T4_thiram_pres,Thiram Presence,RF,p1,4,0.7453479853479854,0.7962204007285975,0.7911392405063291
T4_thiram_pres,Thiram Presence,SVM,p1,0,0.9938355569704512,0.990909090909091,0.9953051643192488
T4_thiram_pres,Thiram Presence,SVM,p1,1,0.9663862707340968,0.9695918367346938,0.9748743718592964
T4_thiram_pres,Thiram Presence,SVM,p1,2,0.8468428123600538,0.8020833333333333,0.904040404040404
T4_thiram_pres,Thiram Presence,SVM,p1,3,0.8793632075471698,0.905982905982906,0.8817204301075269
T4_thiram_pres,Thiram Presence,SVM,p1,4,0.7858756211413944,0.8306010928961749,0.8291139240506329
T4_thiram_pres,Thiram Presence,PLS-DA,p1,0,0.9072299651567944,0.8786536248561565,0.9342723004694836
T4_thiram_pres,Thiram Presence,PLS-DA,p1,1,0.7688734030197444,0.7942176870748299,0.8140703517587939
T4_thiram_pres,Thiram Presence,PLS-DA,p1,2,0.7336800573888091,0.6945833333333333,0.8484848484848485
T4_thiram_pres,Thiram Presence,PLS-DA,p1,3,0.8740690589031821,0.9017094017094016,0.8763440860215054
T4_thiram_pres,Thiram Presence,PLS-DA,p1,4,0.8368744226484812,0.8535974499089254,0.879746835443038
T5_mg_pres,MG Presence,RF,p1,0,0.8890913824524863,0.8518518518518519,0.9248826291079812
T5_mg_pres,MG Presence,RF,p1,1,0.4368986983588002,0.4781898266552998,0.7236180904522613
T5_mg_pres,MG Presence,RF,p1,2,0.6877628259041211,0.6981255448997385,0.696969696969697
T5_mg_pres,MG Presence,RF,p1,3,0.49004329004329,0.525,0.7956989247311828
T5_mg_pres,MG Presence,RF,p1,4,0.7353138262229171,0.7115384615384616,0.810126582278481
T5_mg_pres,MG Presence,SVM,p1,0,0.9028415036625614,0.9404262753319356,0.92018779342723
T5_mg_pres,MG Presence,SVM,p1,1,0.4419070512820512,0.4519749928957089,0.6482412060301508
T5_mg_pres,MG Presence,SVM,p1,2,0.6898496240601504,0.7035745422842197,0.696969696969697
T5_mg_pres,MG Presence,SVM,p1,3,0.7870967741935484,0.7431506849315068,0.8817204301075269
T5_mg_pres,MG Presence,SVM,p1,4,0.682334401999674,0.668722786647315,0.7658227848101266
T5_mg_pres,MG Presence,PLS-DA,p1,0,0.933755548644293,0.9470649895178196,0.9483568075117372
T5_mg_pres,MG Presence,PLS-DA,p1,1,0.6885062611806798,0.6803069053708439,0.7889447236180904
T5_mg_pres,MG Presence,PLS-DA,p1,2,0.6266107909900471,0.6361159546643418,0.6363636363636364
T5_mg_pres,MG Presence,PLS-DA,p1,3,0.6617063492063492,0.6678082191780822,0.7634408602150538
T5_mg_pres,MG Presence,PLS-DA,p1,4,0.925189393939394,0.908744557329463,0.9367088607594936
T6_mba_pres,MBA Presence,RF,p1,0,0.8363426815213215,0.8406572039665565,0.8497652582159625
T6_mba_pres,MBA Presence,RF,p1,1,0.9771526980482204,0.9701492537313432,0.9798994974874372
T6_mba_pres,MBA Presence,RF,p1,2,0.8272897196261682,0.78125,0.8939393939393939
T6_mba_pres,MBA Presence,RF,p1,3,0.8511735419630156,0.8085106382978724,0.9032258064516128
T6_mba_pres,MBA Presence,RF,p1,4,1.0,1.0,1.0
T6_mba_pres,MBA Presence,SVM,p1,0,0.8372803666921314,0.843816838421155,0.8497652582159625
T6_mba_pres,MBA Presence,SVM,p1,1,0.8722721437740693,0.8980664857530529,0.8793969849246231
T6_mba_pres,MBA Presence,SVM,p1,2,0.7231907894736842,0.6954166666666667,0.8282828282828283
T6_mba_pres,MBA Presence,SVM,p1,3,0.9413711583924348,0.928975968161641,0.956989247311828
T6_mba_pres,MBA Presence,SVM,p1,4,1.0,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,p1,0,0.8537399663770038,0.8640871086914252,0.863849765258216
T6_mba_pres,MBA Presence,PLS-DA,p1,1,1.0,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,p1,2,0.789847381327087,0.7758333333333334,0.8535353535353535
T6_mba_pres,MBA Presence,PLS-DA,p1,3,0.9137506688068486,0.9461962345017604,0.9301075268817204
T6_mba_pres,MBA Presence,PLS-DA,p1,4,0.9327029559587698,0.9605072463768116,0.9683544303797468
T7_mixture_order,Mixture Complexity,RF,p1,0,0.7919998969722726,0.7901566120547713,0.8215962441314554
T7_mixture_order,Mixture Complexity,RF,p1,1,0.8202215370960774,0.800093181672129,0.8190954773869347
T7_mixture_order,Mixture Complexity,RF,p1,2,0.6550603821790263,0.6353072078151611,0.696969696969697
