Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc
T1_thiram_conc,Thiram Concentration,RF,p3,0,0.716533813512824,0.7142417032099055
T1_thiram_conc,Thiram Concentration,RF,p3,1,0.6568561223057926,0.7266341536614646
T1_thiram_conc,Thiram Concentration,RF,p3,2,0.6470955938610925,0.636746794871795
T1_thiram_conc,Thiram Concentration,RF,p3,3,0.7430065561342674,0.7942940038684719
T1_thiram_conc,Thiram Concentration,RF,p3,4,0.5209560487821356,0.5593902625152625
T1_thiram_conc,Thiram Concentration,SVM,p3,0,0.684639475428949,0.6860889885224732
T1_thiram_conc,Thiram Concentration,SVM,p3,1,0.6734634565046401,0.7134193677470989
T1_thiram_conc,Thiram Concentration,SVM,p3,2,0.6150919576053351,0.6107051282051282
T1_thiram_conc,Thiram Concentration,SVM,p3,3,0.7558210784313726,0.7830754352030947
T1_thiram_conc,Thiram Concentration,SVM,p3,4,0.5890936548831286,0.5962492368742369
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,0,0.5507909344381583,0.5535225715952516
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,1,0.6245670077522876,0.6795588235294118
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,2,0.5794255172316662,0.574246794871795
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,3,0.8909401260504202,0.8794003868471953
T1_thiram_conc,Thiram Concentration,PLS-DA,p3,4,0.6866653469328758,0.6847909035409036
T2_mg_conc,MG Concentration,RF,p3,0,0.46024464688508365,0.4603386809269162
T2_mg_conc,MG Concentration,RF,p3,1,0.4405298309526092,0.4584902111091347
T2_mg_conc,MG Concentration,RF,p3,2,0.37594927332958317,0.5094111969111969
T2_mg_conc,MG Concentration,RF,p3,3,0.3636789450450173,0.41630434782608694
T2_mg_conc,MG Concentration,RF,p3,4,0.3341432225063939,0.2860071624803768
T2_mg_conc,MG Concentration,SVM,p3,0,0.4039436573527483,0.42082590612002374
T2_mg_conc,MG Concentration,SVM,p3,1,0.36303448022628915,0.35141274701632236
T2_mg_conc,MG Concentration,SVM,p3,2,0.4366376382711318,0.5229247104247103
T2_mg_conc,MG Concentration,SVM,p3,3,0.28499251497005984,0.2807971014492754
T2_mg_conc,MG Concentration,SVM,p3,4,0.41335279707372735,0.4128821624803768
T2_mg_conc,MG Concentration,PLS-DA,p3,0,0.43255839959409026,0.4763814616755793
T2_mg_conc,MG Concentration,PLS-DA,p3,1,0.43379692446856627,0.4551082509592661
T2_mg_conc,MG Concentration,PLS-DA,p3,2,0.37995723418233274,0.4983108108108108
T2_mg_conc,MG Concentration,PLS-DA,p3,3,0.36488144901049324,0.4410730804810361
T2_mg_conc,MG Concentration,PLS-DA,p3,4,0.47162099155951753,0.48482388147566713
T3_mba_conc,MBA Concentration,RF,p3,0,0.5753970164614757,0.5697601751949578
T3_mba_conc,MBA Concentration,RF,p3,1,0.6075799451081629,0.6210862561745798
T3_mba_conc,MBA Concentration,RF,p3,2,0.4843493845860575,0.4935482542819499
T3_mba_conc,MBA Concentration,RF,p3,3,0.35131434830230013,0.30544003868471953
T3_mba_conc,MBA Concentration,RF,p3,4,0.812765538945712,0.8503028890959925
T3_mba_conc,MBA Concentration,SVM,p3,0,0.5426229486859094,0.5322601751949578
T3_mba_conc,MBA Concentration,SVM,p3,1,0.6065718112552972,0.6427662117069677
T3_mba_conc,MBA Concentration,SVM,p3,2,0.5747860736991172,0.6007699275362319
T3_mba_conc,MBA Concentration,SVM,p3,3,0.37453485184471447,0.342674081237911
T3_mba_conc,MBA Concentration,SVM,p3,4,0.7445683841416414,0.8221109040074557
T3_mba_conc,MBA Concentration,PLS-DA,p3,0,0.5705280172413794,0.5731616992486558
T3_mba_conc,MBA Concentration,PLS-DA,p3,1,0.6728262334641568,0.687821472643908
T3_mba_conc,MBA Concentration,PLS-DA,p3,2,0.5117428146112446,0.5912590579710144
T3_mba_conc,MBA Concentration,PLS-DA,p3,3,0.28942938153464465,0.2954061895551257
T3_mba_conc,MBA Concentration,PLS-DA,p3,4,0.6490283534160467,0.6910065237651445
T4_thiram_pres,Thiram Presence,RF,p3,0,0.9568488987931584,0.9541426927502876
T4_thiram_pres,Thiram Presence,RF,p3,1,0.8420634920634921,0.8236054421768708
T4_thiram_pres,Thiram Presence,RF,p3,2,0.7514347202295553,0.7083333333333334
T4_thiram_pres,Thiram Presence,RF,p3,3,0.8344017094017094,0.8539576365663322
T4_thiram_pres,Thiram Presence,RF,p3,4,0.8582535885167464,0.9164389799635702
T4_thiram_pres,Thiram Presence,SVM,p3,0,0.9757734303912649,0.981415420023015
T4_thiram_pres,Thiram Presence,SVM,p3,1,0.9575873827791986,0.9387755102040816
T4_thiram_pres,Thiram Presence,SVM,p3,2,0.8468428123600538,0.8020833333333333
T4_thiram_pres,Thiram Presence,SVM,p3,3,0.8687830687830688,0.8974358974358974
T4_thiram_pres,Thiram Presence,SVM,p3,4,0.7923154701718909,0.8346994535519126
T4_thiram_pres,Thiram Presence,PLS-DA,p3,0,0.9491161012900143,0.933199079401611
T4_thiram_pres,Thiram Presence,PLS-DA,p3,1,0.7418458117123795,0.7706802721088435
T4_thiram_pres,Thiram Presence,PLS-DA,p3,2,0.7514347202295553,0.7083333333333334
T4_thiram_pres,Thiram Presence,PLS-DA,p3,3,0.8687830687830688,0.8974358974358974
T4_thiram_pres,Thiram Presence,PLS-DA,p3,4,0.8227848101265822,0.8454007285974499
T5_mg_pres,MG Presence,RF,p3,0,0.9346625766871166,0.9135220125786163
T5_mg_pres,MG Presence,RF,p3,1,0.48578811369509045,0.5162688263711281
T5_mg_pres,MG Presence,RF,p3,2,0.7075023741690408,0.7169790758500436
T5_mg_pres,MG Presence,RF,p3,3,0.7814102564102564,0.7340753424657533
T5_mg_pres,MG Presence,RF,p3,4,0.7122040072859745,0.6923076923076923
T5_mg_pres,MG Presence,SVM,p3,0,0.8212311521430846,0.8232005590496156
T5_mg_pres,MG Presence,SVM,p3,1,0.4167595459236326,0.4335038363171355
T5_mg_pres,MG Presence,SVM,p3,2,0.7402757328336234,0.7452048823016565
T5_mg_pres,MG Presence,SVM,p3,3,1.0,1.0
T5_mg_pres,MG Presence,SVM,p3,4,0.7122040072859745,0.6923076923076923
T5_mg_pres,MG Presence,PLS-DA,p3,0,0.8998423367355406,0.9220824598183088
T5_mg_pres,MG Presence,PLS-DA,p3,1,0.7723112128146452,0.7412617220801364
T5_mg_pres,MG Presence,PLS-DA,p3,2,0.6343779677113011,0.6414559721011334
T5_mg_pres,MG Presence,PLS-DA,p3,3,0.7590593549672834,0.8664383561643836
T5_mg_pres,MG Presence,PLS-DA,p3,4,0.8996825396825396,0.875
T6_mba_pres,MBA Presence,RF,p3,0,0.7407707910750507,0.7325490958584484
T6_mba_pres,MBA Presence,RF,p3,1,0.9773296878560036,0.9738240615106286
T6_mba_pres,MBA Presence,RF,p3,2,0.8680776014109347,0.83
T6_mba_pres,MBA Presence,RF,p3,3,0.8444199867928681,0.8049135159957141
T6_mba_pres,MBA Presence,RF,p3,4,1.0,1.0
T6_mba_pres,MBA Presence,SVM,p3,0,0.8645303326810176,0.8622399377795061
T6_mba_pres,MBA Presence,SVM,p3,1,0.8288172043010753,0.8493894165535957
T6_mba_pres,MBA Presence,SVM,p3,2,0.7984773846842812,0.7608333333333333
T6_mba_pres,MBA Presence,SVM,p3,3,0.8511523687580025,0.8365222715444666
T6_mba_pres,MBA Presence,SVM,p3,4,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,p3,0,0.8482905982905983,0.8573303519346684
T6_mba_pres,MBA Presence,PLS-DA,p3,1,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,p3,2,0.9163026630970833,0.9104166666666667
T6_mba_pres,MBA Presence,PLS-DA,p3,3,0.8675164011246486,0.8753252716975356
T6_mba_pres,MBA Presence,PLS-DA,p3,4,1.0,1.0
T7_mixture_order,Mixture Complexity,RF,p3,0,0.8617416474559332,0.8467348254582298
T7_mixture_order,Mixture Complexity,RF,p3,1,0.8167310167310168,0.7918032260137523
T7_mixture_order,Mixture Complexity,RF,p3,2,0.8316979060259991,0.8115901860599634
T7_mixture_order,Mixture Complexity,RF,p3,3,0.726614010989011,0.755827067669173
T7_mixture_order,Mixture Complexity,RF,p3,4,0.681529356698149,0.6809523809523809
T7_mixture_order,Mixture Complexity,SVM,p3,0,0.7792357968828557,0.7944597437784146
T7_mixture_order,Mixture Complexity,SVM,p3,1,0.7319247818651863,0.7260298181350814
T7_mixture_order,Mixture Complexity,SVM,p3,2,0.7475803329461866,0.7417186177790631
T7_mixture_order,Mixture Complexity,SVM,p3,3,0.8414396499557789,0.8645363408521304
T7_mixture_order,Mixture Complexity,SVM,p3,4,0.7706728941264345,0.7382352941176471
T7_mixture_order,Mixture Complexity,PLS-DA,p3,0,0.8808220397985784,0.8713324288270498
T7_mixture_order,Mixture Complexity,PLS-DA,p3,1,0.678743512174687,0.6483998457682668
T7_mixture_order,Mixture Complexity,PLS-DA,p3,2,0.5543746645195919,0.542115213642255
T7_mixture_order,Mixture Complexity,PLS-DA,p3,3,0.7523785153669224,0.7777568922305763
T7_mixture_order,Mixture Complexity,PLS-DA,p3,4,0.8939318265059949,0.8642857142857142
