Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
T1_thiram_conc,Thiram Concentration,RF,raw,0,0.6862002980424032,0.6971886286616981,0.704225352112676
T1_thiram_conc,Thiram Concentration,RF,raw,1,0.5058949359611,0.5368557422969188,0.5025125628140703
T1_thiram_conc,Thiram Concentration,RF,raw,2,0.5270338781877374,0.543798076923077,0.5454545454545454
T1_thiram_conc,Thiram Concentration,RF,raw,3,0.4760729832360841,0.5983180556723573,0.5591397849462365
T1_thiram_conc,Thiram Concentration,RF,raw,4,0.629683936135549,0.6166819291819292,0.6139240506329114
T1_thiram_conc,Thiram Concentration,SVM,raw,0,0.4885823114083983,0.4788278633184538,0.4976525821596244
T1_thiram_conc,Thiram Concentration,SVM,raw,1,0.4513812353942471,0.5591056422569028,0.4924623115577889
T1_thiram_conc,Thiram Concentration,SVM,raw,2,0.5153414975197154,0.5050320512820513,0.5050505050505051
T1_thiram_conc,Thiram Concentration,SVM,raw,3,0.4773065476190476,0.6015151515151516,0.5860215053763441
T1_thiram_conc,Thiram Concentration,SVM,raw,4,0.4856226634729466,0.505570818070818,0.4683544303797468
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,0,0.5399814471243043,0.529596746176889,0.5117370892018779
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,1,0.5744894812689183,0.5798514405762305,0.5025125628140703
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,2,0.5359306955180742,0.529775641025641,0.5303030303030303
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,3,0.7489420309408167,0.7526112185686653,0.7311827956989247
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,4,0.7329423403052573,0.7317880036630037,0.7215189873417721
T2_mg_conc,MG Concentration,RF,raw,0,0.4493500959154965,0.4471677559912854,0.4788732394366197
T2_mg_conc,MG Concentration,RF,raw,1,0.5085480734891472,0.5426670492437397,0.5527638190954773
T2_mg_conc,MG Concentration,RF,raw,2,0.4598687209115711,0.5808397683397684,0.5
T2_mg_conc,MG Concentration,RF,raw,3,0.3900908119658119,0.4488879895158803,0.478494623655914
T2_mg_conc,MG Concentration,RF,raw,4,0.5657638412402289,0.5691679748822607,0.5886075949367089
T2_mg_conc,MG Concentration,SVM,raw,0,0.3292307826264887,0.3480392156862745,0.323943661971831
T2_mg_conc,MG Concentration,SVM,raw,1,0.4891532338397219,0.5177314238361046,0.5829145728643216
T2_mg_conc,MG Concentration,SVM,raw,2,0.4414573047535572,0.4764720077220077,0.3585858585858585
T2_mg_conc,MG Concentration,SVM,raw,3,0.3363991128697011,0.3694553654024052,0.4193548387096774
T2_mg_conc,MG Concentration,SVM,raw,4,0.2341735594473453,0.3062598116169545,0.2594936708860759
T2_mg_conc,MG Concentration,PLS-DA,raw,0,0.5254224126693463,0.5103167529638117,0.5211267605633803
T2_mg_conc,MG Concentration,PLS-DA,raw,1,0.4599626577260468,0.478073816199245,0.5276381909547738
T2_mg_conc,MG Concentration,PLS-DA,raw,2,0.4678731762065096,0.5710666023166023,0.5
T2_mg_conc,MG Concentration,PLS-DA,raw,3,0.5222726385636222,0.6357789855072464,0.6129032258064516
T2_mg_conc,MG Concentration,PLS-DA,raw,4,0.3279212666394075,0.4093485086342229,0.3670886075949367
T3_mba_conc,MBA Concentration,RF,raw,0,0.4741378613930405,0.4742099312751487,0.5446009389671361
T3_mba_conc,MBA Concentration,RF,raw,1,0.5265513920714803,0.5702568434555662,0.5175879396984925
T3_mba_conc,MBA Concentration,RF,raw,2,0.5434667783710494,0.5656085309617918,0.5505050505050505
T3_mba_conc,MBA Concentration,RF,raw,3,0.3180460586228719,0.3584864603481625,0.3387096774193548
T3_mba_conc,MBA Concentration,RF,raw,4,0.678492047213819,0.7144454799627213,0.6518987341772152
T3_mba_conc,MBA Concentration,SVM,raw,0,0.3068845091318977,0.3442175871523698,0.380281690140845
T3_mba_conc,MBA Concentration,SVM,raw,1,0.3564766611877939,0.3882116280677865,0.3065326633165829
T3_mba_conc,MBA Concentration,SVM,raw,2,0.4309034119070689,0.4689393939393939,0.4747474747474747
T3_mba_conc,MBA Concentration,SVM,raw,3,0.2533878416231357,0.2683268858800773,0.2903225806451613
T3_mba_conc,MBA Concentration,SVM,raw,4,0.597989352600057,0.6381640260950605,0.5886075949367089
T3_mba_conc,MBA Concentration,PLS-DA,raw,0,0.3330492946231556,0.3521721326069152,0.323943661971831
T3_mba_conc,MBA Concentration,PLS-DA,raw,1,0.5266621461912746,0.5453088597461729,0.5226130653266332
T3_mba_conc,MBA Concentration,PLS-DA,raw,2,0.3952072676896845,0.4515027997364954,0.4242424242424242
T3_mba_conc,MBA Concentration,PLS-DA,raw,3,0.3806471306471306,0.350709219858156,0.4247311827956989
T3_mba_conc,MBA Concentration,PLS-DA,raw,4,0.3450223510933913,0.4903308480894687,0.360759493670886
T4_thiram_pres,Thiram Presence,RF,raw,0,0.7226000636703036,0.7212888377445339,0.7887323943661971
T4_thiram_pres,Thiram Presence,RF,raw,1,0.8578838564179665,0.826734693877551,0.9045226130653268
T4_thiram_pres,Thiram Presence,RF,raw,2,0.9257314328582146,0.8958333333333333,0.9494949494949496
T4_thiram_pres,Thiram Presence,RF,raw,3,0.8337900631478614,0.8509847640282423,0.8387096774193549
T4_thiram_pres,Thiram Presence,RF,raw,4,0.7485896137711558,0.8060109289617486,0.7911392405063291
T4_thiram_pres,Thiram Presence,SVM,raw,0,0.5814163179432641,0.6480437284234752,0.6009389671361502
T4_thiram_pres,Thiram Presence,SVM,raw,1,0.7732968785600365,0.8460544217687075,0.7989949748743719
T4_thiram_pres,Thiram Presence,SVM,raw,2,0.7380952380952381,0.8400000000000001,0.7575757575757576
T4_thiram_pres,Thiram Presence,SVM,raw,3,0.8266744321490973,0.8632478632478633,0.8279569892473119
T4_thiram_pres,Thiram Presence,SVM,raw,4,0.5650601914622622,0.6960382513661202,0.5759493670886076
T4_thiram_pres,Thiram Presence,PLS-DA,raw,0,0.5847953216374269,0.5798043728423475,0.7370892018779343
T4_thiram_pres,Thiram Presence,PLS-DA,raw,1,0.8405448717948718,0.7959183673469388,0.8994974874371859
T4_thiram_pres,Thiram Presence,PLS-DA,raw,2,0.7904761904761904,0.76125,0.8636363636363636
T4_thiram_pres,Thiram Presence,PLS-DA,raw,3,0.9279907084785132,0.9130434782608696,0.935483870967742
T4_thiram_pres,Thiram Presence,PLS-DA,raw,4,0.7698135198135199,0.7222222222222222,0.8734177215189873
T5_mg_pres,MG Presence,RF,raw,0,0.6704244031830239,0.6477987421383647,0.8028169014084507
T5_mg_pres,MG Presence,RF,raw,1,0.6357440510963119,0.6259590792838874,0.7638190954773869
T5_mg_pres,MG Presence,RF,raw,2,0.7559032716927454,0.7392109851787272,0.803030303030303
T5_mg_pres,MG Presence,RF,raw,3,0.6220975232198143,0.6111301369863014,0.7741935483870968
T5_mg_pres,MG Presence,RF,raw,4,0.8552318123511087,0.85177793904209,0.8734177215189873
T5_mg_pres,MG Presence,SVM,raw,0,0.7542886912514419,0.712962962962963,0.8544600938967136
T5_mg_pres,MG Presence,SVM,raw,1,0.6828616961709092,0.658638817845979,0.8140703517587939
T5_mg_pres,MG Presence,SVM,raw,2,0.8268518518518518,0.860178727114211,0.8282828282828283
T5_mg_pres,MG Presence,SVM,raw,3,0.5535206258890469,0.5518835616438356,0.7096774193548387
T5_mg_pres,MG Presence,SVM,raw,4,0.5765021219566674,0.5825471698113207,0.6962025316455697
T5_mg_pres,MG Presence,PLS-DA,raw,0,0.7229768786127169,0.6911250873515025,0.8309859154929577
T5_mg_pres,MG Presence,PLS-DA,raw,1,0.5457208080285998,0.5455385052571754,0.7336683417085427
T5_mg_pres,MG Presence,PLS-DA,raw,2,0.7531566665601126,0.7364864864864865,0.803030303030303
T5_mg_pres,MG Presence,PLS-DA,raw,3,0.6529161869218247,0.6666095890410959,0.7473118279569892
T5_mg_pres,MG Presence,PLS-DA,raw,4,0.5315464895635673,0.5535195936139332,0.6835443037974683
T6_mba_pres,MBA Presence,RF,raw,0,0.8463203463203464,0.8297686175384018,0.8685446009389671
T6_mba_pres,MBA Presence,RF,raw,1,0.7613908872901678,0.7492650384441428,0.7989949748743719
T6_mba_pres,MBA Presence,RF,raw,2,0.8623138015591261,0.8445833333333332,0.904040404040404
T6_mba_pres,MBA Presence,RF,raw,3,0.6742995689655172,0.7073320067350375,0.7204301075268817
T6_mba_pres,MBA Presence,RF,raw,4,0.9125207624772602,0.9746376811594204,0.9556962025316456
T6_mba_pres,MBA Presence,SVM,raw,0,0.5386737872719181,0.554151273575734,0.6572769953051644
T6_mba_pres,MBA Presence,SVM,raw,1,0.4163922617822597,0.4285391225689733,0.4271356783919598
T6_mba_pres,MBA Presence,SVM,raw,2,0.7287671232876712,0.8333333333333333,0.7474747474747475
T6_mba_pres,MBA Presence,SVM,raw,3,0.7026439844230374,0.6907240165314557,0.7903225806451613
T6_mba_pres,MBA Presence,SVM,raw,4,0.4824137931034483,0.7246376811594203,0.5189873417721519
T6_mba_pres,MBA Presence,PLS-DA,raw,0,0.5102004716981132,0.5298463931557457,0.6338028169014085
T6_mba_pres,MBA Presence,PLS-DA,raw,1,0.9943951556118856,0.9962121212121212,0.9949748743718592
T6_mba_pres,MBA Presence,PLS-DA,raw,2,0.6373626373626373,0.6275,0.7575757575757576
T6_mba_pres,MBA Presence,PLS-DA,raw,3,0.7421271538918598,0.7021276595744681,0.8494623655913979
T6_mba_pres,MBA Presence,PLS-DA,raw,4,0.9299334811529932,0.9391304347826088,0.9683544303797468
T7_mixture_order,Mixture Complexity,RF,raw,0,0.5044369923243163,0.534813660321669,0.6009389671361502
T7_mixture_order,Mixture Complexity,RF,raw,1,0.5979580563191723,0.5825139772508193,0.6432160804020101
T7_mixture_order,Mixture Complexity,RF,raw,2,0.9195774987043334,0.9253899011322128,0.9090909090909092
T7_mixture_order,Mixture Complexity,RF,raw,3,0.7368150009144552,0.7624686716791981,0.7473118279569892
T7_mixture_order,Mixture Complexity,RF,raw,4,0.6862184645193317,0.6676470588235294,0.7025316455696202
T7_mixture_order,Mixture Complexity,SVM,raw,0,0.3058846472624445,0.3970037453183521,0.4413145539906103
T7_mixture_order,Mixture Complexity,SVM,raw,1,0.4143314174664723,0.4066576698155645,0.4221105527638191
T7_mixture_order,Mixture Complexity,SVM,raw,2,0.6287990159399189,0.7116271409749672,0.6363636363636364
