Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,0.703473093919663,0.11006969903766785,0.7095870975682723,0.10155429029087772
T1_thiram_conc,Thiram Concentration,RF,p2,0.700157902380774,0.04687765720317839,0.7252100856409976,0.04600258349011041
T1_thiram_conc,Thiram Concentration,SVM,p2,0.7341879512712797,0.07500043557066667,0.7406918134690239,0.07094806149941203
T2_mg_conc,MG Concentration,PLS-DA,p2,0.398106108538572,0.05506229804252719,0.44609500928086165,0.06879969456716346
T2_mg_conc,MG Concentration,RF,p2,0.40871312688900996,0.03586214165119697,0.4451889538991366,0.05655341808942842
T2_mg_conc,MG Concentration,SVM,p2,0.3737302574315618,0.09400777616977064,0.4091992221061556,0.09502369465904847
T3_mba_conc,MBA Concentration,PLS-DA,p2,0.5096691712923992,0.1393550931942697,0.5383100171296376,0.14167407017375747
T3_mba_conc,MBA Concentration,RF,p2,0.624261548229312,0.17112061318954938,0.6380433194296797,0.1984725335782147
T3_mba_conc,MBA Concentration,SVM,p2,0.5533564409855455,0.1580495981906451,0.5730420173607875,0.18875416737039136
T4_thiram_pres,Thiram Presence,PLS-DA,p2,0.8945964562657196,0.09183049510825617,0.8924185659305366,0.0838570550796978
T4_thiram_pres,Thiram Presence,RF,p2,0.86859111098094,0.08914082315277645,0.8802231110570142,0.10764111275786609
T4_thiram_pres,Thiram Presence,SVM,p2,0.9015358701347292,0.0538940932012916,0.8975496946972891,0.07053690050224078
T5_mg_pres,MG Presence,PLS-DA,p2,0.8236610234506605,0.126555593037883,0.8300298569249543,0.1371434303660232
T5_mg_pres,MG Presence,RF,p2,0.7295030416493302,0.16229875497565877,0.7237157192740123,0.14585318789492158
T5_mg_pres,MG Presence,SVM,p2,0.8105493694240844,0.23256458838476107,0.8075570807846228,0.22767423825785263
T6_mba_pres,MBA Presence,PLS-DA,p2,0.886826152556563,0.06317249465669271,0.8946917223036609,0.07833395436695026
T6_mba_pres,MBA Presence,RF,p2,0.9084235661151803,0.058756531341803586,0.9057864263600148,0.07204275916939042
T6_mba_pres,MBA Presence,SVM,p2,0.8678214851756977,0.08577586738524864,0.8615617078233798,0.09472653822065201
T7_mixture_order,Mixture Complexity,PLS-DA,p2,0.7871604543088211,0.13934602450155972,0.7825625514970735,0.14100694544830664
T7_mixture_order,Mixture Complexity,RF,p2,0.7735830523671321,0.0620525505174813,0.7690790504918119,0.05687456577257142
T7_mixture_order,Mixture Complexity,SVM,p2,0.7848922265192162,0.08542000407158017,0.7846797395901479,0.09771713135596821
