Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T1_thiram_conc,Thiram Concentration,PLS-DA,p4,0.6444299167540234,0.1044747855603263,0.6512297620712042,0.0851978659778999,0.631189313845823,0.0984702619664108
T1_thiram_conc,Thiram Concentration,RF,p4,0.6487280548852394,0.0759415697776904,0.6789004794761013,0.0721158073823801,0.6655713224474421,0.0844017237301911
T1_thiram_conc,Thiram Concentration,SVM,p4,0.5895312132026815,0.0757200956874846,0.6027507121189528,0.0740617933629671,0.590208270211181,0.0731420062913487
T2_mg_conc,MG Concentration,PLS-DA,p4,0.4399864798826025,0.0924211830526651,0.4805692081110251,0.079537535433651,0.4570391648416739,0.0925063761498424
T2_mg_conc,MG Concentration,RF,p4,0.520936642853305,0.1265480505936484,0.5538677885255459,0.0803605305588794,0.5507593367315058,0.1069225905774024
T2_mg_conc,MG Concentration,SVM,p4,0.3479839338475051,0.0319810602217389,0.38101156084131,0.0651885707844818,0.3503105842188952,0.0693122273356306
T3_mba_conc,MBA Concentration,PLS-DA,p4,0.425216771054433,0.0584022805772262,0.4595453515975808,0.0688696513496077,0.4371814626223565,0.0432771222622374
T3_mba_conc,MBA Concentration,RF,p4,0.638085586630818,0.1514488739853949,0.6549955489045453,0.1457544631822366,0.6464482250607246,0.1446417591025857
T3_mba_conc,MBA Concentration,SVM,p4,0.4521702365701983,0.1146407943560674,0.5000842418788405,0.1563036042447594,0.4615712902824737,0.0787474861788036
T4_thiram_pres,Thiram Presence,PLS-DA,p4,0.7196483776019186,0.0505187847815224,0.7021509992549578,0.0574506618990158,0.8093182236146292,0.0494652437112061
T4_thiram_pres,Thiram Presence,RF,p4,0.8171248743093091,0.1284035708870927,0.8225384024365059,0.1231676176974105,0.8572129757673503,0.0957471207708096
T4_thiram_pres,Thiram Presence,SVM,p4,0.7398789773236698,0.105262710601578,0.8078498382449706,0.0797617382534461,0.7607526416837033,0.1067146882332454
T5_mg_pres,MG Presence,PLS-DA,p4,0.6898163499677759,0.0938804903161888,0.695052105859504,0.0974828462882272,0.7830913492935957,0.0422282382030154
T5_mg_pres,MG Presence,RF,p4,0.7434382138310431,0.0999153486001966,0.7214087120685602,0.0913044553876747,0.8314636302266208,0.0770284850217233
T5_mg_pres,MG Presence,SVM,p4,0.633903853756755,0.0723293858371118,0.693567488923816,0.0940524396454599,0.6625670280157585,0.0561966877101388
T6_mba_pres,MBA Presence,PLS-DA,p4,0.7651359417523304,0.1489352737931704,0.7496958819123665,0.1556313440843425,0.854580228524178,0.1093981502869925
T6_mba_pres,MBA Presence,RF,p4,0.8801007002101215,0.0881616578472445,0.8850002560361055,0.0939656562282318,0.902582843404398,0.0701223681246942
T6_mba_pres,MBA Presence,SVM,p4,0.6779580862600542,0.1335379962931502,0.7421487309630733,0.1725517966230407,0.7280332426186582,0.1257946367072411
T7_mixture_order,Mixture Complexity,PLS-DA,p4,0.5874006675943926,0.147725476064333,0.6194981862239288,0.1262096984282264,0.7019026493127974,0.0970941486847823
T7_mixture_order,Mixture Complexity,RF,p4,0.6895651729009631,0.1273336893219883,0.7015803957139233,0.1202154871971675,0.753852169541732,0.0674389619861039
T7_mixture_order,Mixture Complexity,SVM,p4,0.4586505758031666,0.1567322095155591,0.4671082219407587,0.1976517242027427,0.4760293337471061,0.1441316636192915
T1b_thiram_3c,Thiram Semi-Quant,PLS-DA,p4,0.6427719723682168,0.10985572769648642,0.6352259845397152,0.096624666985319,0.6757245679854572,0.10354112970006984
T1b_thiram_3c,Thiram Semi-Quant,RF,p4,0.6778194991204486,0.08464706699690604,0.6744741074014895,0.08288586545941305,0.6734818056296161,0.08876479042482471
T1b_thiram_3c,Thiram Semi-Quant,SVM,p4,0.5705861003777264,0.04291970613347697,0.6150069541364092,0.05425395783063641,0.5657517044743956,0.0461222849528759
T2b_mg_3c,MG Semi-Quant,PLS-DA,p4,0.6247459893616578,0.14536111394451476,0.6450485990573935,0.144827890407744,0.6693601157127792,0.11549129692316601
T2b_mg_3c,MG Semi-Quant,RF,p4,0.7183371182920986,0.1115992941759792,0.7257789626998667,0.10826493243149675,0.7450366620168898,0.11134991390137634
T2b_mg_3c,MG Semi-Quant,SVM,p4,0.5661670335821323,0.0916500933811545,0.5967334833239624,0.11592217143356898,0.645223215505955,0.07570630592528234
T3b_mba_3c,MBA Semi-Quant,PLS-DA,p4,0.6413308510244915,0.10471166327214562,0.6369601357745589,0.08733424293614177,0.6956398417441866,0.12917035950854486
T3b_mba_3c,MBA Semi-Quant,RF,p4,0.7556252338547657,0.13582152349391102,0.7646033287414269,0.11966042591645097,0.7520332382118264,0.14812809463494642
T3b_mba_3c,MBA Semi-Quant,SVM,p4,0.7007197179918968,0.17664213021278216,0.7147331415966196,0.18024195159501974,0.6918782560241571,0.18211639573640015
