Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
T1b_thiram_3c,Thiram Semi-Quant,KAN-CNN,raw,0.3630244957379843,0.1526688367271126,0.4318854185104099,0.0929456830047042,0.388122859135509,0.1014110729229031
T2b_mg_3c,MG Semi-Quant,KAN-CNN,raw,0.5559577020175626,0.1549711097492358,0.6066960843199627,0.1483801987877267,0.5940593132754891,0.1029561422223235
T3b_mba_3c,MBA Semi-Quant,KAN-CNN,raw,0.4879614710520424,0.0928713683258393,0.5698072838993454,0.1126849144932498,0.5010268899419332,0.0881210157041314
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,0.4604210442346479,0.1510128398357424,0.4792068379857491,0.1344423628967918,0.4741532296995764,0.1335628132716881
T2_mg_conc,MG Concentration,1D-ResNet,raw,0.3748468070733453,0.0719520082938902,0.4149523599894911,0.054975587243874,0.3912013460089967,0.1013150026192143
T3_mba_conc,MBA Concentration,1D-ResNet,raw,0.4334180726561317,0.1412470300815226,0.4576054381305344,0.1531545608144749,0.4524802746989659,0.1263075294763519
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,0.6774150688845804,0.1278442811099448,0.6932458915104245,0.1040077157701729,0.730271155591143,0.1463181042759383
T5_mg_pres,MG Presence,1D-ResNet,raw,0.6595441601781793,0.1288183999894755,0.6689132891399243,0.1306253356143076,0.7302334089859615,0.1120017591252137
T6_mba_pres,MBA Presence,1D-ResNet,raw,0.7444768866017646,0.0902804129641487,0.774737102844752,0.1268169310181146,0.7970468342471273,0.0890999768777399
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,0.5937416052183849,0.1551598866666381,0.6232522098667617,0.1608192551214457,0.615507551844835,0.1237009398919687
T1b_thiram_3c,Thiram Semi-Quant,1D-ResNet,raw,0.5528720870337789,0.0987537084859138,0.5578674526449894,0.1157156768212012,0.5556154005426345,0.100562610069323
T2b_mg_3c,MG Semi-Quant,1D-ResNet,raw,0.5320967953992669,0.1997473806315095,0.5786848911543329,0.1955153378956951,0.5678733239969392,0.1791801089267292
T3b_mba_3c,MBA Semi-Quant,1D-ResNet,raw,0.5828596406884569,0.1356932650830893,0.6094265731742452,0.1429375840390216,0.5964363981497741,0.1691399929226336
T1_thiram_conc,Thiram Concentration,Feature-KAN,raw,0.5746451298423034,0.1065595705013015,0.6001531571814074,0.1112704175536998,0.5854892447716817,0.1126621836471545
T2_mg_conc,MG Concentration,Feature-KAN,raw,0.3699425826818792,0.0837540660649211,0.4019476929420379,0.088316650856366,0.3810928703331036,0.1080018044102655
T3_mba_conc,MBA Concentration,Feature-KAN,raw,0.5002433924748685,0.1521690488559267,0.5346033791437861,0.196120593354617,0.5076894163410083,0.1271604673665127
