SP_77.csv,SP_78.csv,SP_79.csv,SP_80.csv,SP_81.csv,SP_82.csv,SP_83.csv,SP_84.csv,SP_85.csv,SP_86.csv,SP_87.csv,SP_88.csv
64728.5000,64728.5000,61061.0000,55804.5000,53259.0000,51453.5000,50083.5000,48842.0000,47737.0000,46604.5000,45353.5000,44353.5000
64681.5000,64681.5000,64119.0000,58733.5000,56348.0000,54310.5000,52919.5000,51581.0000,50388.5000,49075.5000,47952.5000,46857.0000
64728.0000,64728.0000,64728.0000,62728.0000,59950.0000,58062.0000,56369.5000,54988.0000,53644.5000,52216.0000,51029.5000,49919.5000
64744.5000,64744.5000,64744.5000,64744.5000,64195.5000,62118.0000,60444.5000,58786.0000,57340.0000,55998.0000,54870.0000,53527.0000
64762.5000,64762.5000,64762.5000,64762.5000,64762.5000,64762.5000,64533.0000,62894.5000,61464.0000,59899.0000,58291.0000,57217.5000
64696.5000,64696.5000,64696.5000,64696.5000,64696.5000,64696.5000,64696.5000,64696.5000,64542.0000,63199.0000,61536.0000,60234.5000
64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,64750.5000,63537.5000,62112.0000
64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,64695.0000,63591.0000,62206.0000
64719.0000,64719.0000,64719.0000,64719.0000,64719.0000,64719.0000,64719.0000,64719.0000,64511.0000,63359.5000,61695.0000,60210.5000
64701.5000,64701.5000,64701.5000,64701.5000,64701.5000,64701.5000,64649.0000,63153.0000,61422.0000,59831.5000,58245.5000,56877.0000
64724.5000,64724.5000,64724.5000,64724.5000,64724.5000,63302.0000,61569.0000,59854.0000,58066.0000,56826.0000,55168.0000,53945.5000
64712.5000,64712.5000,64712.5000,64712.5000,63960.5000,61863.0000,59943.5000,58277.5000,56738.0000,55314.0000,53919.5000,52572.0000
64734.5000,64734.5000,64734.5000,64734.5000,64734.5000,62954.0000,61103.0000,59605.0000,57882.0000,56531.0000,55025.5000,53865.5000
64727.0000,64727.0000,64727.0000,64727.0000,64727.0000,64727.0000,64083.0000,62426.0000,60577.5000,59027.5000,57559.5000,56348.0000
64761.0000,64761.0000,64761.0000,64761.0000,64761.0000,64761.0000,64761.0000,64761.0000,63274.0000,61658.0000,60126.0000,58854.5000
64747.5000,64747.5000,64747.5000,64747.5000,64747.5000,64747.5000,64747.5000,64747.5000,64106.0000,62492.5000,60842.0000,59595.0000
64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,64735.5000,63595.5000,61802.0000,60301.0000,58647.0000,57464.5000
64712.5000,64712.5000,64712.5000,64712.5000,64522.5000,62965.0000,60933.0000,59405.0000,57880.5000,56576.0000,54931.0000,53727.5000
64746.0000,64746.0000,64746.0000,63169.5000,60393.5000,58166.0000,56575.5000,55157.0000,53751.0000,52260.5000,51060.0000,49840.5000
64736.5000,64736.5000,64217.0000,58489.5000,56034.5000,54107.5000,52751.5000,51170.0000,50050.0000,48510.0000,47541.5000,46507.0000
64700.0000,64700.0000,60989.5000,55445.5000,52904.5000,51193.0000,49732.5000,48377.0000,47092.0000,45867.0000,44706.5000,43664.5000
64715.5000,63644.0000,58746.5000,53304.5000,50965.5000,49199.0000,47875.5000,46627.0000,45320.5000,44441.0000,43225.5000,42336.5000
64709.5000,62424.0000,57493.5000,52040.5000,49704.5000,48113.5000,46658.0000,45488.0000,44191.0000,43181.0000,42082.5000,41182.5000
64676.5000,61564.0000,56641.5000,51452.0000,49074.5000,47390.5000,46077.5000,44895.0000,43665.5000,42512.5000,41471.0000,40545.5000
64738.0000,61238.5000,56101.5000,50944.5000,48691.0000,46941.0000,45572.5000,44412.5000,43183.5000,42251.5000,41117.0000,40348.0000
64755.5000,60600.0000,55881.0000,50572.5000,48208.5000,46674.5000,45471.5000,44216.5000,42863.5000,41983.5000,40941.5000,39921.0000
64718.5000,60127.5000,55267.0000,50061.5000,47733.5000,46210.0000,44907.0000,43909.0000,42505.5000,41403.5000,40363.5000,39451.5000
64724.5000,59628.5000,54785.5000,49581.0000,47547.5000,45888.0000,44467.0000,43370.5000,42134.5000,41132.0000,40082.0000,39151.0000
64512.5000,58891.0000,54131.0000,49132.0000,47013.0000,45206.0000,44029.0000,42875.0000,41574.0000,40565.0000,39784.5000,38768.5000
64085.0000,57994.0000,53609.0000,48620.5000,46377.0000,44746.0000,43601.0000,42349.0000,41098.5000,40186.0000,39234.0000,38309.0000
63659.5000,57342.0000,52730.0000,47860.5000,45779.5000,44363.5000,42958.5000,41849.5000,40600.5000,39551.0000,38590.5000,37785.5000
63285.0000,56756.0000,52316.0000,47343.5000,45335.5000,43577.5000,42582.0000,41396.0000,40213.5000,39257.5000,38302.0000,37357.0000
63133.5000,56531.5000,51919.5000,46962.0000,44859.5000,43269.0000,42169.0000,40981.5000,39820.5000,38848.0000,37888.0000,37001.0000
63150.0000,56479.5000,51826.0000,47086.5000,45007.0000,43298.0000,42015.0000,40964.5000,39758.5000,38805.0000,37926.5000,36922.5000
63279.5000,56781.0000,52132.5000,47225.0000,44920.5000,43520.5000,42057.5000,41055.5000,39942.0000,39064.0000,37966.5000,36964.5000
63454.0000,56759.5000,52313.0000,47216.0000,45094.5000,43591.0000,42156.0000,40950.5000,39958.0000,39095.0000,38023.5000,37105.0000
63281.0000,56259.5000,52017.0000,46818.5000,44753.0000,43231.0000,42050.5000,40876.5000,39738.0000,38838.5000,37779.0000,36945.5000
62679.5000,55589.0000,50866.0000,46153.5000,44159.5000,42577.0000,41431.0000,40227.5000,39201.5000,38117.5000,37210.5000,36321.0000
61848.0000,53981.5000,49780.0000,45232.0000,43040.5000,41570.0000,40293.5000,39286.5000,38104.0000,37258.0000,36357.0000,35505.5000
60148.0000,52793.0000,48482.5000,43861.0000,41852.5000,40619.0000,39400.0000,38340.0000,37308.0000,36295.0000,35468.0000,34568.0000
59307.0000,51841.5000,47680.0000,43193.0000,41406.5000,39852.5000,38680.5000,37750.5000,36607.5000,35790.0000,34826.5000,34084.5000
58293.5000,51073.0000,47016.0000,42656.0000,40699.0000,39268.0000,38297.5000,37230.0000,36130.5000,35373.5000,34468.0000,33688.0000
58342.5000,51111.5000,47050.5000,42733.5000,40865.0000,39410.5000,38254.5000,37449.0000,36291.0000,35325.0000,34557.0000,33787.0000
58784.0000,51454.5000,47551.0000,43073.0000,41054.5000,39696.5000,38688.0000,37856.5000,36644.5000,35696.0000,34880.5000,34105.5000
59457.0000,52007.0000,48097.5000,43587.5000,41745.5000,40301.0000,39257.5000,38253.0000,37149.5000,36280.5000,35552.5000,34609.0000
60434.0000,52909.0000,48812.0000,44212.5000,42359.0000,40934.0000,39694.5000,38731.0000,37801.0000,36715.0000,36105.5000,35110.0000
60826.0000,53523.0000,49374.5000,44823.0000,42791.5000,41445.0000,40209.5000,39095.0000,37979.5000,37283.5000,36439.5000,35312.0000
61336.0000,53771.0000,49489.0000,44978.0000,43024.5000,41710.5000,40534.5000,39327.0000,38123.5000,37260.5000,36480.5000,35617.0000
60953.5000,53671.5000,49292.5000,44867.0000,42653.5000,41329.5000,40008.5000,39192.0000,37978.0000,37043.0000,36318.0000,35521.0000
60486.0000,53241.0000,49038.0000,44473.5000,42345.5000,40915.0000,39749.0000,38757.0000,37792.0000,36867.5000,35901.0000,35084.0000
60382.0000,52779.0000,48677.5000,44132.0000,42127.0000,40694.5000,39596.5000,38399.5000,37569.0000,36665.0000,35766.0000,34893.0000
60400.5000,53042.0000,48896.5000,44356.5000,42192.5000,40896.5000,39704.0000,38735.5000,37750.5000,36772.0000,35801.5000,35017.5000
61500.0000,53827.0000,49643.5000,45098.0000,42904.5000,41497.0000,40362.0000,39281.0000,38330.0000,37339.0000,36478.5000,35504.0000
62325.5000,54936.0000,50576.5000,45769.5000,43770.5000,42311.0000,41087.0000,39964.0000,39023.0000,37986.5000,37124.5000,36189.5000
62486.5000,55119.0000,50945.5000,46284.0000,44035.5000,42624.5000,41453.5000,40467.0000,39375.0000,38499.5000,37532.0000,36527.5000
62192.5000,54900.5000,50711.0000,45942.0000,43899.5000,42352.5000,41264.0000,40050.5000,38833.5000,38100.5000,37242.5000,36515.5000
61013.5000,53620.5000,49388.0000,44851.0000,42963.5000,41444.5000,40383.0000,39350.0000,38079.5000,37224.0000,36228.5000,35526.0000
59080.0000,51824.0000,47781.0000,43439.0000,41423.0000,40181.5000,38873.5000,37967.0000,37056.0000,36136.0000,35241.5000,34467.0000
56845.5000,50026.5000,46021.0000,41864.0000,40053.5000,38754.5000,37642.0000,36676.5000,35589.0000,34912.5000,34030.5000,33161.0000
55202.5000,48390.5000,44662.5000,40515.5000,38771.0000,37507.5000,36343.0000,35500.0000,34623.0000,33766.5000,32963.5000,32208.5000
53840.0000,47362.0000,43562.0000,39541.5000,37808.0000,36466.0000,35616.5000,34770.0000,33837.0000,32971.5000,32281.5000,31428.0000
53115.5000,46583.5000,42754.0000,38786.0000,37284.5000,36076.0000,34911.5000,34111.0000,33267.0000,32411.5000,31657.0000,30920.0000
52408.5000,45981.0000,42333.5000,38532.5000,36721.5000,35585.0000,34585.0000,33641.5000,32800.5000,32012.0000,31272.5000,30587.5000
51920.0000,45578.5000,42085.5000,38294.0000,36480.5000,35103.5000,34333.5000,33369.0000,32502.5000,31605.5000,30918.0000,30262.5000
52196.5000,45818.5000,42125.0000,38204.0000,36399.0000,35328.5000,34350.0000,33508.5000,32463.0000,31792.0000,31041.5000,30348.0000
52911.0000,46244.5000,42482.0000,38733.0000,36851.5000,35710.5000,34707.5000,33842.5000,32873.5000,32017.5000,31348.5000,30449.0000
53876.0000,47319.5000,43457.5000,39406.5000,37485.0000,36299.0000,35382.5000,34476.0000,33587.0000,32502.0000,31874.5000,31000.5000
54718.5000,47956.5000,44196.5000,40027.5000,38165.5000,36968.5000,35792.0000,34869.0000,34102.0000,33255.5000,32433.0000,31605.0000
55169.5000,48367.5000,44520.0000,40374.5000,38608.0000,37335.5000,36327.0000,35314.5000,34272.5000,33520.0000,32711.0000,32001.0000
55008.5000,48259.0000,44508.5000,40441.5000,38628.5000,37509.5000,36374.5000,35354.0000,34400.5000,33628.0000,32867.5000,32017.5000
54336.5000,47838.5000,44238.0000,40196.0000,38447.0000,37044.0000,36129.5000,35169.5000,34108.5000,33290.5000,32463.0000,31870.5000
53793.5000,47369.0000,43741.0000,39706.5000,37834.0000,36625.5000,35677.0000,34835.5000,33747.0000,33029.5000,32313.0000,31393.5000
53301.0000,46839.5000,43261.5000,39245.0000,37702.0000,36231.0000,35192.5000,34425.0000,33485.5000,32655.5000,31756.5000,31141.5000
53482.5000,46883.0000,43171.0000,39204.5000,37486.5000,36313.5000,35305.5000,34411.0000,33396.5000,32659.5000,31792.0000,31106.5000
54478.5000,47854.0000,44181.0000,39798.0000,37988.5000,36837.0000,35812.0000,34903.5000,33894.0000,33048.0000,32280.5000,31570.5000
55604.0000,48779.5000,44606.0000,40623.0000,38602.5000,37466.0000,36384.5000,35403.0000,34401.0000,33722.5000,32914.5000,32092.0000
55793.5000,48864.5000,44965.0000,40836.0000,38959.0000,37547.0000,36487.5000,35663.0000,34571.0000,33687.0000,32899.0000,32157.5000
54367.0000,47603.0000,43799.5000,39681.5000,38052.0000,36761.0000,35545.0000,34785.0000,33742.0000,32981.0000,32113.0000,31408.0000
52262.5000,45870.0000,42266.0000,38308.0000,36615.5000,35352.5000,34503.5000,33428.0000,32630.5000,31906.5000,31151.0000,30356.0000
50707.5000,44327.5000,40860.0000,37179.0000,35479.5000,34158.0000,33356.0000,32539.0000,31710.5000,30885.5000,30201.5000,29506.0000
49335.0000,43418.5000,39917.0000,36299.5000,34711.5000,33566.5000,32502.5000,31792.5000,31053.0000,30159.5000,29536.0000,28808.5000
48708.5000,42703.5000,39493.0000,35802.5000,34238.5000,33088.0000,32053.0000,31304.5000,30514.0000,29650.5000,29272.5000,28549.0000
48078.5000,42308.0000,38916.0000,35294.0000,33752.5000,32516.5000,31680.5000,30938.5000,30053.5000,29371.0000,28813.5000,28058.0000
47573.0000,41590.5000,38443.0000,34954.0000,33188.0000,32191.5000,31372.5000,30602.0000,29740.5000,29229.5000,28450.5000,27699.5000
