SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv,SP_40.csv
5682.0000,5205.5000,6684.0000,6431.5000,5353.5000,4615.0000,5501.0000,4459.0000,5437.5000,8749.5000,8509.5000,8677.5000,8872.5000,8088.0000
5598.5000,5074.5000,6615.5000,6382.0000,5314.5000,4589.0000,5441.5000,4466.0000,5388.5000,8766.5000,8397.0000,8581.0000,8718.5000,8038.5000
5638.0000,5149.0000,6707.0000,6386.5000,5370.0000,4558.5000,5500.0000,4410.5000,5378.5000,8817.5000,8385.0000,8622.0000,8779.5000,8010.5000
5674.0000,5200.0000,6750.5000,6430.5000,5340.5000,4664.0000,5488.5000,4433.0000,5467.0000,8801.0000,8488.5000,8636.5000,8822.5000,8068.0000
5601.5000,5180.0000,6666.0000,6426.0000,5297.0000,4572.0000,5432.0000,4456.0000,5442.0000,8806.0000,8445.0000,8622.5000,8780.0000,8152.5000
5583.5000,5161.0000,6650.0000,6441.5000,5385.0000,4615.0000,5519.0000,4421.5000,5417.0000,8849.0000,8434.5000,8601.5000,8828.5000,8050.0000
5616.5000,5136.0000,6663.0000,6444.0000,5348.0000,4641.0000,5443.0000,4465.5000,5405.0000,8877.5000,8388.5000,8547.0000,8820.0000,8080.5000
5587.0000,5108.0000,6648.0000,6386.0000,5288.0000,4603.0000,5443.5000,4389.5000,5396.5000,8855.5000,8484.5000,8584.5000,8858.0000,8077.5000
5628.0000,5238.5000,6734.5000,6436.5000,5351.0000,4658.0000,5474.0000,4489.5000,5461.0000,8915.0000,8485.5000,8659.5000,8843.5000,8112.0000
5681.5000,5215.0000,6682.5000,6473.5000,5384.5000,4671.5000,5539.0000,4474.0000,5498.0000,8919.5000,8463.0000,8652.0000,8839.5000,8071.0000
5727.5000,5237.5000,6755.0000,6548.5000,5414.0000,4678.0000,5543.5000,4481.0000,5484.5000,8892.0000,8536.5000,8686.5000,8897.5000,8136.0000
5685.0000,5236.5000,6741.0000,6480.5000,5379.5000,4631.0000,5503.5000,4464.0000,5459.5000,8874.5000,8491.5000,8703.5000,8857.0000,8077.5000
5706.0000,5229.0000,6748.5000,6513.5000,5390.5000,4643.5000,5462.5000,4477.0000,5534.0000,8955.5000,8562.0000,8748.0000,8952.0000,8147.5000
5723.5000,5240.5000,6814.5000,6548.5000,5411.0000,4673.0000,5589.5000,4558.0000,5519.5000,9089.0000,8692.0000,8885.0000,9064.5000,8198.0000
5741.0000,5341.5000,6939.5000,6633.5000,5451.5000,4668.0000,5635.5000,4572.0000,5592.5000,9245.5000,8773.5000,8962.0000,9183.5000,8381.0000
5988.5000,5472.5000,7120.5000,6852.5000,5543.5000,4712.0000,5686.0000,4576.0000,5695.5000,9365.0000,9063.5000,9295.0000,9406.0000,8519.5000
6077.5000,5622.0000,7339.0000,7040.5000,5593.0000,4815.5000,5842.5000,4683.5000,5832.0000,9831.5000,9288.0000,9574.0000,9711.5000,8854.0000
6317.0000,5824.5000,7619.5000,7349.0000,5660.0000,4914.0000,6011.0000,4813.5000,6072.5000,10326.5000,9789.5000,10077.5000,10147.5000,9210.0000
6751.0000,6239.0000,8253.5000,7864.0000,5866.5000,5114.5000,6412.5000,5024.5000,6466.0000,11057.5000,10621.0000,10779.5000,10904.5000,9978.0000
7493.5000,6862.5000,9126.0000,8730.0000,6244.0000,5465.5000,7087.5000,5384.5000,7085.5000,12427.0000,11856.0000,12141.0000,12219.5000,11053.5000
8559.5000,7853.0000,10564.0000,10119.0000,6907.0000,6012.5000,7978.0000,5958.0000,8135.0000,14520.0000,13768.5000,14089.5000,14180.0000,12770.0000
10152.5000,9251.0000,12470.5000,12124.5000,7689.5000,6760.0000,9292.5000,6763.5000,9477.0000,17349.0000,16434.5000,17029.0000,16897.5000,15239.0000
12391.5000,11186.5000,15263.0000,14793.0000,8869.0000,7814.0000,11165.5000,7873.0000,11380.0000,21237.0000,20116.5000,20666.5000,20452.5000,18423.0000
15068.0000,13528.5000,18605.5000,18018.0000,10276.5000,9111.5000,13524.5000,9360.0000,13878.5000,26054.5000,24763.5000,25395.5000,25032.0000,22683.0000
17879.0000,16339.5000,22370.0000,21765.5000,11768.0000,10573.5000,16172.5000,10973.5000,16512.5000,31374.5000,29975.0000,30549.0000,30146.0000,27143.5000
20755.5000,18917.5000,26039.5000,25206.5000,13330.5000,12017.5000,18569.0000,12459.0000,19023.5000,36645.5000,34820.0000,35731.5000,34835.0000,31526.0000
23100.5000,20939.0000,28692.0000,27855.0000,14600.5000,13079.5000,20746.0000,13615.0000,21017.0000,40299.5000,38312.0000,39294.5000,38564.0000,34889.5000
24121.5000,22046.5000,29910.5000,28927.5000,15150.0000,13521.0000,21561.0000,14343.5000,21939.0000,41749.0000,39611.5000,40560.0000,39743.5000,36106.0000
23882.5000,21729.0000,29218.0000,28405.0000,15097.5000,13545.5000,21381.0000,14304.5000,21852.0000,40569.5000,38587.5000,39477.0000,38816.0000,35304.5000
22461.5000,20397.5000,27221.0000,26489.0000,14564.0000,13029.5000,20264.0000,13560.0000,20647.0000,37495.5000,35706.5000,36580.0000,36067.5000,32847.0000
20280.5000,18575.5000,24522.5000,23666.0000,13515.0000,12151.0000,18394.5000,12579.0000,18920.0000,33293.0000,31722.0000,32418.5000,32121.5000,29318.0000
17797.5000,16159.5000,21033.0000,20406.0000,12119.0000,10918.5000,16203.0000,11357.5000,16724.0000,28475.5000,27078.5000,27737.5000,27464.0000,24989.0000
15054.0000,13703.5000,17657.0000,17134.0000,10703.5000,9562.0000,13749.0000,9775.5000,14358.0000,23719.5000,22548.0000,23147.0000,23084.5000,21047.5000
12377.0000,11346.0000,14573.5000,14051.0000,9241.0000,8173.5000,11488.5000,8291.5000,12043.5000,19595.0000,18636.0000,19093.0000,19044.5000,17169.5000
10314.5000,9399.0000,12036.0000,11586.5000,7994.5000,7035.0000,9521.0000,7050.5000,10040.0000,16274.0000,15380.0000,15705.0000,15825.0000,14196.5000
8649.0000,7827.0000,10242.0000,9892.5000,7042.0000,6084.5000,8093.0000,6056.0000,8408.0000,13707.0000,13053.0000,13331.5000,13543.5000,12140.5000
7575.0000,6932.5000,9108.0000,8746.5000,6438.0000,5598.0000,7198.0000,5503.0000,7450.0000,12178.0000,11601.5000,11948.0000,11920.0000,10800.5000
7003.0000,6432.5000,8323.5000,8037.0000,6064.0000,5252.5000,6562.5000,5105.5000,6723.5000,11161.5000,10693.5000,10980.0000,11023.0000,10079.0000
6601.5000,6010.5000,7923.5000,7632.5000,5777.0000,5031.5000,6244.5000,4914.5000,6275.0000,10550.0000,10091.0000,10349.5000,10436.5000,9505.0000
6217.5000,5716.0000,7510.0000,7301.0000,5569.5000,4861.5000,5926.5000,4726.0000,6066.0000,10110.5000,9617.0000,9899.5000,9974.0000,9153.0000
6012.5000,5532.5000,7257.0000,6997.0000,5517.0000,4743.5000,5816.5000,4609.5000,5783.5000,9823.5000,9310.5000,9583.5000,9743.5000,8870.5000
5926.0000,5485.5000,7121.5000,6858.5000,5398.0000,4670.0000,5679.5000,4520.5000,5664.5000,9553.0000,9096.5000,9380.5000,9462.0000,8673.0000
5806.5000,5431.0000,7077.0000,6714.0000,5344.0000,4591.5000,5641.5000,4476.0000,5599.0000,9328.0000,8899.5000,9131.5000,9291.0000,8469.5000
5749.0000,5311.5000,6938.0000,6653.0000,5286.5000,4599.0000,5517.5000,4461.0000,5588.0000,9227.5000,8858.0000,9032.5000,9180.5000,8370.0000
5661.0000,5232.0000,6877.5000,6560.5000,5250.0000,4569.0000,5471.5000,4451.0000,5467.0000,9031.5000,8641.5000,8852.5000,9056.0000,8320.0000
5605.0000,5236.5000,6748.5000,6516.0000,5265.5000,4612.0000,5418.5000,4421.0000,5391.0000,8989.5000,8537.5000,8806.0000,8931.5000,8127.0000
5612.0000,5158.5000,6662.0000,6396.5000,5177.5000,4541.0000,5347.0000,4346.0000,5308.0000,8872.0000,8498.5000,8706.0000,8791.0000,8039.0000
5512.5000,5059.5000,6534.0000,6340.0000,5193.0000,4526.0000,5330.5000,4355.0000,5287.5000,8747.5000,8394.5000,8598.5000,8755.5000,8000.0000
5460.5000,5101.0000,6560.5000,6304.0000,5161.5000,4517.0000,5283.0000,4304.5000,5237.5000,8625.0000,8323.0000,8533.0000,8649.5000,7963.5000
5484.5000,5059.0000,6492.0000,6203.5000,5191.5000,4464.0000,5295.5000,4327.5000,5207.0000,8637.0000,8319.5000,8467.5000,8509.0000,7836.5000
5382.5000,5018.0000,6411.5000,6222.0000,5118.0000,4463.0000,5254.0000,4327.5000,5148.5000,8502.5000,8182.0000,8350.5000,8491.0000,7848.0000
5319.0000,4951.5000,6400.0000,6135.0000,5084.0000,4368.0000,5192.0000,4254.0000,5183.0000,8447.5000,8101.0000,8248.5000,8447.5000,7707.0000
5294.5000,4902.0000,6315.5000,6056.5000,5083.5000,4345.0000,5159.5000,4232.5000,5098.0000,8320.0000,8094.5000,8267.0000,8316.0000,7659.0000
5245.0000,4884.0000,6282.5000,6055.0000,5074.5000,4307.5000,5137.0000,4234.0000,5074.5000,8354.5000,7974.5000,8142.5000,8287.0000,7645.0000
5205.0000,4873.5000,6214.5000,6024.0000,4967.5000,4354.0000,5043.0000,4254.5000,5080.5000,8219.5000,7846.0000,8037.5000,8251.0000,7602.0000
5184.0000,4875.0000,6224.0000,5989.5000,5067.0000,4358.0000,5115.5000,4205.5000,5058.0000,8271.5000,7890.5000,7985.5000,8182.5000,7507.0000
5214.5000,4808.0000,6184.0000,5954.5000,4944.5000,4319.0000,5012.5000,4158.5000,4972.5000,8138.0000,7810.0000,7972.5000,8129.5000,7466.0000
5140.5000,4767.0000,6043.0000,5876.5000,4975.0000,4290.0000,5049.5000,4098.0000,4982.0000,8040.5000,7743.0000,7901.5000,8082.5000,7469.5000
5153.5000,4821.0000,6160.5000,5911.0000,4974.5000,4347.0000,5054.0000,4173.5000,4990.5000,8099.0000,7765.0000,7936.5000,8082.5000,7462.5000
