SP_103.csv,SP_104.csv,SP_105.csv,SP_106.csv,SP_107.csv,SP_108.csv,SP_109.csv,SP_110.csv,SP_111.csv,SP_112.csv,SP_113.csv,SP_114.csv,SP_115.csv,SP_116.csv
1067.5000,1025.0000,1003.0000,1022.0000,1045.0000,1041.0000,1024.5000,992.0000,929.5000,1038.5000,1016.5000,1006.0000,1004.5000,1051.5000
1056.0000,1055.5000,989.5000,1005.5000,1057.0000,1029.5000,1037.0000,979.0000,948.5000,999.0000,1019.5000,993.5000,1014.0000,1046.5000
1071.5000,996.0000,1014.5000,1058.5000,1051.5000,1027.5000,1015.0000,962.5000,955.5000,981.0000,1035.0000,984.5000,1011.0000,1028.5000
987.0000,989.5000,1012.5000,976.5000,988.0000,1008.5000,999.0000,906.5000,948.0000,975.0000,968.0000,952.5000,986.5000,1010.0000
1023.0000,980.5000,1014.0000,967.5000,1024.0000,996.0000,1008.0000,970.0000,910.0000,994.0000,1000.0000,995.5000,995.5000,1001.5000
1050.5000,1001.5000,1003.0000,991.0000,1007.5000,1007.0000,999.0000,945.5000,922.5000,996.0000,974.5000,976.5000,956.0000,996.5000
1012.0000,928.0000,973.5000,949.5000,973.5000,946.0000,940.5000,899.0000,873.5000,919.0000,943.5000,960.0000,979.0000,999.5000
955.0000,935.5000,965.5000,914.0000,924.0000,938.0000,916.0000,932.5000,869.5000,886.5000,893.0000,891.5000,947.0000,950.0000
975.0000,940.5000,949.5000,913.0000,962.0000,957.5000,909.0000,910.5000,854.5000,936.0000,943.5000,912.0000,916.5000,951.0000
978.5000,944.5000,959.5000,946.0000,949.0000,981.5000,932.0000,915.0000,890.5000,898.5000,930.0000,910.0000,958.0000,947.0000
1015.5000,973.5000,952.5000,961.0000,1006.0000,974.5000,922.5000,948.5000,912.0000,944.5000,962.0000,918.5000,967.0000,1003.0000
1057.0000,975.5000,1007.5000,968.5000,1055.5000,1029.5000,984.5000,976.5000,901.0000,980.0000,993.0000,1004.0000,1003.5000,1004.0000
1039.0000,1032.5000,988.0000,988.5000,1030.5000,990.5000,993.5000,1001.5000,926.0000,955.5000,1008.5000,991.0000,946.0000,1028.0000
1085.0000,1003.5000,1020.5000,1014.5000,1009.5000,1035.5000,1007.0000,992.5000,997.0000,1002.0000,1025.0000,979.5000,1023.0000,1032.0000
1063.0000,1010.5000,1034.0000,1033.0000,1064.0000,1068.5000,1029.0000,969.0000,981.5000,1014.0000,1034.5000,1013.5000,998.0000,1028.5000
1049.0000,1008.0000,1045.5000,976.5000,1046.5000,1035.5000,1007.5000,985.0000,959.5000,1003.5000,1008.0000,979.0000,1024.5000,1045.5000
1075.5000,997.5000,1044.5000,1035.0000,1092.5000,1038.5000,1013.5000,974.5000,955.0000,991.0000,988.0000,1015.0000,1016.0000,1046.5000
1065.0000,1009.0000,1013.0000,1050.0000,1049.5000,1021.5000,1002.5000,973.0000,982.5000,968.5000,1035.5000,1018.5000,1019.5000,1045.0000
1016.0000,1003.5000,1020.5000,973.5000,1025.5000,999.5000,979.5000,947.5000,912.5000,979.0000,1006.5000,981.5000,976.5000,1024.0000
968.0000,967.5000,979.5000,941.0000,978.0000,939.5000,923.0000,940.5000,895.0000,950.5000,939.0000,938.5000,964.5000,989.0000
956.0000,918.5000,921.5000,908.5000,953.0000,962.0000,898.5000,873.0000,852.5000,924.0000,911.0000,917.5000,948.5000,945.5000
1033.0000,923.0000,930.0000,948.0000,923.5000,922.0000,911.5000,871.5000,882.5000,921.0000,918.0000,944.0000,939.0000,967.0000
945.0000,935.0000,910.5000,889.5000,922.0000,941.5000,893.5000,877.5000,838.0000,905.0000,911.0000,921.0000,902.0000,903.0000
909.5000,896.5000,901.5000,863.5000,916.0000,900.0000,861.0000,844.0000,837.5000,851.0000,882.5000,881.0000,910.5000,923.0000
913.5000,877.0000,883.0000,903.5000,913.5000,902.5000,894.0000,843.5000,835.0000,852.5000,891.5000,881.5000,865.0000,888.0000
999.0000,963.0000,950.5000,906.5000,935.0000,925.5000,903.5000,906.5000,881.5000,936.0000,935.5000,930.5000,941.5000,945.0000
