family,substance,c_mba,c_thiram,c_mg,n_spectra,n_groups,group_ids
single,MG,0,0,4,21,1,孔+银+0.4
single,MG,0,0,5,27,1,孔+银+0.5
single,MG,0,0,6,20,1,孔+银+0.6
single,Thiram,0,4,0,18,1,福美双+银+0.4
single,Thiram,0,5,0,20,1,福美双+银+0.5
single,Thiram,0,6,0,20,1,福美双+银+0.6
single,MBA,4,0,0,20,1,mba+银+0.4
single,MBA,5,0,0,20,1,mba+银+0.5
single,MBA,6,0,0,21,1,mba+银+0.6
binary_MBA_MG,binary_MBA_MG,4,0,4,14,1,孔4m4
binary_MBA_MG,binary_MBA_MG,4,0,5,14,1,孔5m4
binary_MBA_MG,binary_MBA_MG,4,0,6,15,1,孔6m4
binary_MBA_MG,binary_MBA_MG,5,0,4,12,1,孔4M5
binary_MBA_MG,binary_MBA_MG,5,0,5,14,1,孔5m5
binary_MBA_MG,binary_MBA_MG,5,0,6,15,1,孔6m5
binary_MBA_MG,binary_MBA_MG,6,0,4,14,1,孔4M6
binary_MBA_MG,binary_MBA_MG,6,0,5,16,1,孔5m6
binary_MBA_MG,binary_MBA_MG,6,0,6,14,1,孔6m6
binary_MBA_Thiram,binary_MBA_Thiram,4,4,0,20,1,美4M4
binary_MBA_Thiram,binary_MBA_Thiram,4,5,0,16,1,美5M4
binary_MBA_Thiram,binary_MBA_Thiram,4,6,0,14,1,美6m4
binary_MBA_Thiram,binary_MBA_Thiram,5,4,0,19,1,美4M5
binary_MBA_Thiram,binary_MBA_Thiram,5,5,0,16,1,美5M5
binary_MBA_Thiram,binary_MBA_Thiram,5,6,0,16,1,美6m5
binary_MBA_Thiram,binary_MBA_Thiram,6,4,0,18,1,美4M6
binary_MBA_Thiram,binary_MBA_Thiram,6,5,0,20,1,美5m6
binary_Thiram_MG,binary_Thiram_MG,0,4,4,20,1,美4孔4+银
binary_Thiram_MG,binary_Thiram_MG,0,4,5,15,1,美4孔5
binary_Thiram_MG,binary_Thiram_MG,0,4,6,14,1,美4孔6
binary_Thiram_MG,binary_Thiram_MG,0,5,4,13,1,美5孔4
binary_Thiram_MG,binary_Thiram_MG,0,5,5,14,1,美5孔5
binary_Thiram_MG,binary_Thiram_MG,0,5,6,12,1,美5孔6
ternary,ternary,4,4,4,12,1,美4K4M4
ternary,ternary,4,4,5,16,1,美4K5M4
ternary,ternary,4,4,6,14,1,美4K6M4
ternary,ternary,4,5,4,14,1,美5K4M4
ternary,ternary,4,5,5,15,1,美5K5M4
ternary,ternary,4,5,6,14,1,美5K6M4
ternary,ternary,5,4,4,15,1,美4K4M5
ternary,ternary,5,4,5,15,1,美4K5M5
ternary,ternary,5,4,6,14,1,美4K6M5
ternary,ternary,5,5,4,18,1,美5K4M5
ternary,ternary,5,5,5,14,1,美5K5M5
ternary,ternary,5,5,6,13,1,美5K6M5
ternary,ternary,6,4,4,15,1,美4K4M6
ternary,ternary,6,4,5,15,1,美4K5M6
ternary,ternary,6,4,6,13,1,美4K6M6
ternary,ternary,6,5,4,14,1,美5K4M6
ternary,ternary,6,5,5,15,1,美5K5M6
ternary,ternary,6,5,6,19,1,美5K6M6
