Task,Target,TaskName,Type,Model,MacroF1,BalancedAcc
Task1,mixture_order,Mixture Order,order,RF,0.5624168389052567,0.5915550741523591
Task1,mixture_order,Mixture Order,order,Ridge,0.6569339677920617,0.6850017767032812
Task1,mixture_order,Mixture Order,order,PLS-DA,0.5941777639809334,0.6071064068663947
Task2,has_thiram,Thiram Presence,presence,RF,0.7369253048801602,0.7957100455966483
Task2,has_thiram,Thiram Presence,presence,Ridge,0.8257676388136378,0.8561545266081161
Task2,has_thiram,Thiram Presence,presence,PLS-DA,0.7229245794852728,0.7393342449414325
Task3,has_mg,MG Presence,presence,RF,0.7317623378247646,0.7780677795339135
Task3,has_mg,MG Presence,presence,Ridge,0.6462043854791043,0.6644717259309846
Task3,has_mg,MG Presence,presence,PLS-DA,0.5738025386905112,0.61869142934585
Task4,c_thiram,Thiram Level,level,RF,0.41281489485080564,0.5902040860078925
Task4,c_thiram,Thiram Level,level,Ridge,0.5126536627327192,0.6796767745055632
Task4,c_thiram,Thiram Level,level,PLS-DA,0.4434759006049859,0.5697463091255714
Task5,c_mg,MG Level,level,RF,0.38159272502163977,0.4488940365910623
Task5,c_mg,MG Level,level,Ridge,0.38393832521199833,0.40414153325754415
Task5,c_mg,MG Level,level,PLS-DA,0.35447482375713474,0.4170260225022549
Task6,c_mba,MBA Level (Internal),internal,RF,0.622592628391853,0.692308870892499
Task6,c_mba,MBA Level (Internal),internal,Ridge,0.5341554989593591,0.5923854476198069
Task6,c_mba,MBA Level (Internal),internal,PLS-DA,0.5174516674820148,0.6380293288186291
