Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc
T1_thiram_conc,Thiram Concentration,RF,p2,0,0.7706024636404383,0.7603972889177302
T1_thiram_conc,Thiram Concentration,RF,p2,1,0.6458233476332533,0.7182312925170068
T1_thiram_conc,Thiram Concentration,RF,p2,2,0.6844735407894555,0.6732051282051282
T1_thiram_conc,Thiram Concentration,RF,p2,3,0.7176833033859507,0.7828820116054158
T1_thiram_conc,Thiram Concentration,RF,p2,4,0.6822068564547723,0.691334706959707
T1_thiram_conc,Thiram Concentration,SVM,p2,0,0.6982313810307538,0.7048417333621746
T1_thiram_conc,Thiram Concentration,SVM,p2,1,0.6877625164130496,0.7226070428171268
T1_thiram_conc,Thiram Concentration,SVM,p2,2,0.6641119671774288,0.6575801282051282
T1_thiram_conc,Thiram Concentration,SVM,p2,3,0.8459113300492611,0.8425601995907268
T1_thiram_conc,Thiram Concentration,SVM,p2,4,0.7749225616859048,0.7758699633699633
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,0,0.605112834332435,0.6018114303318716
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,1,0.6120661965259834,0.6630027010804321
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,2,0.6705421312162885,0.6575801282051282
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,3,0.8625176381798132,0.8544179071006083
T1_thiram_conc,Thiram Concentration,PLS-DA,p2,4,0.7671266693437948,0.771123321123321
T2_mg_conc,MG Concentration,RF,p2,0,0.43392200242929024,0.43652208358090705
T2_mg_conc,MG Concentration,RF,p2,1,0.4548207013801325,0.46005210671500407
T2_mg_conc,MG Concentration,RF,p2,2,0.39566704524095064,0.4983108108108108
T2_mg_conc,MG Concentration,RF,p2,3,0.39562566561445695,0.47844202898550725
T2_mg_conc,MG Concentration,RF,p2,4,0.36353021978021977,0.3526177394034537
T2_mg_conc,MG Concentration,SVM,p2,0,0.4875682421798151,0.4977718360071301
T2_mg_conc,MG Concentration,SVM,p2,1,0.3097295723396352,0.30782931274475756
T2_mg_conc,MG Concentration,SVM,p2,2,0.3314921700697563,0.4715250965250965
T2_mg_conc,MG Concentration,SVM,p2,3,0.27915140415140416,0.3041666666666667
T2_mg_conc,MG Concentration,SVM,p2,4,0.46070989841719817,0.46470319858712716
T2_mg_conc,MG Concentration,PLS-DA,p2,0,0.34603768104012367,0.39527629233511585
T2_mg_conc,MG Concentration,PLS-DA,p2,1,0.4365023474178404,0.4712248395576223
T2_mg_conc,MG Concentration,PLS-DA,p2,2,0.47375880437383605,0.5386100386100386
T2_mg_conc,MG Concentration,PLS-DA,p2,3,0.3793206149883281,0.4623188405797101
T2_mg_conc,MG Concentration,PLS-DA,p2,4,0.35491109487273176,0.36304503532182103
T3_mba_conc,MBA Concentration,RF,p2,0,0.6217352292324575,0.6259538688886515
T3_mba_conc,MBA Concentration,RF,p2,1,0.7111627538837166,0.7173125706996024
T3_mba_conc,MBA Concentration,RF,p2,2,0.5880247470371264,0.6432971014492753
T3_mba_conc,MBA Concentration,RF,p2,3,0.3687847357428582,0.32935203094777565
T3_mba_conc,MBA Concentration,RF,p2,4,0.8316002752504015,0.874301025163094
T3_mba_conc,MBA Concentration,SVM,p2,0,0.44367915068015346,0.4649383078730905
T3_mba_conc,MBA Concentration,SVM,p2,1,0.619637273898695,0.6314004194990833
T3_mba_conc,MBA Concentration,SVM,p2,2,0.5559823066691009,0.5872735507246376
T3_mba_conc,MBA Concentration,SVM,p2,3,0.3704458571622906,0.33921663442940037
T3_mba_conc,MBA Concentration,SVM,p2,4,0.7770376165174873,0.842381174277726
T3_mba_conc,MBA Concentration,PLS-DA,p2,0,0.6174354581143123,0.5961457999501478
T3_mba_conc,MBA Concentration,PLS-DA,p2,1,0.5894365563460262,0.6013531992567455
T3_mba_conc,MBA Concentration,PLS-DA,p2,2,0.4744306286572474,0.5649909420289856
T3_mba_conc,MBA Concentration,PLS-DA,p2,3,0.2804459691252144,0.2893617021276596
T3_mba_conc,MBA Concentration,PLS-DA,p2,4,0.5865972442191953,0.6396984422846492
T4_thiram_pres,Thiram Presence,RF,p2,0,0.9815066709113536,0.9786536248561565
T4_thiram_pres,Thiram Presence,RF,p2,1,0.8661653215945219,0.9129251700680272
T4_thiram_pres,Thiram Presence,RF,p2,2,0.7395091412239714,0.6979166666666666
T4_thiram_pres,Thiram Presence,RF,p2,3,0.9110047846889953,0.9286510590858417
T4_thiram_pres,Thiram Presence,RF,p2,4,0.8447696364858577,0.8829690346083788
T4_thiram_pres,Thiram Presence,SVM,p2,0,0.9878867151956323,0.9936708860759493
T4_thiram_pres,Thiram Presence,SVM,p2,1,0.8607222844344905,0.8508843537414965
T4_thiram_pres,Thiram Presence,SVM,p2,2,0.8563134978229319,0.8125
T4_thiram_pres,Thiram Presence,SVM,p2,3,0.9163944742441041,0.9329245633593459
T4_thiram_pres,Thiram Presence,SVM,p2,4,0.8863623789764868,0.8977686703096539
T4_thiram_pres,Thiram Presence,PLS-DA,p2,0,0.9321911266749632,0.9296317606444189
T4_thiram_pres,Thiram Presence,PLS-DA,p2,1,0.7556862238304471,0.7702721088435374
T4_thiram_pres,Thiram Presence,PLS-DA,p2,2,0.9347802217911649,0.9133333333333333
T4_thiram_pres,Thiram Presence,PLS-DA,p2,3,0.9942227053890356,0.9927536231884058
T4_thiram_pres,Thiram Presence,PLS-DA,p2,4,0.8561020036429873,0.8561020036429873
T5_mg_pres,MG Presence,RF,p2,0,0.9156435643564356,0.8979734451432564
T5_mg_pres,MG Presence,RF,p2,1,0.47525354969574035,0.5031969309462916
T5_mg_pres,MG Presence,RF,p2,2,0.8023732948874349,0.7976242371403661
T5_mg_pres,MG Presence,RF,p2,3,0.7077441077441078,0.6986301369863014
T5_mg_pres,MG Presence,RF,p2,4,0.7465006915629322,0.7211538461538461
T5_mg_pres,MG Presence,SVM,p2,0,0.9877445339470656,0.9937106918238994
T5_mg_pres,MG Presence,SVM,p2,1,0.4283691386495125,0.4411054276783177
T5_mg_pres,MG Presence,SVM,p2,2,0.7804147720971498,0.7760462074978204
T5_mg_pres,MG Presence,SVM,p2,3,1.0,1.0
T5_mg_pres,MG Presence,SVM,p2,4,0.8562184024266937,0.8269230769230769
T5_mg_pres,MG Presence,PLS-DA,p2,0,0.9358662031587879,0.9654088050314465
T5_mg_pres,MG Presence,PLS-DA,p2,1,0.6512443042411497,0.6400966183574879
T5_mg_pres,MG Presence,PLS-DA,p2,2,0.732765780730897,0.7521795989537925
T5_mg_pres,MG Presence,PLS-DA,p2,3,0.931379381020701,0.951027397260274
T5_mg_pres,MG Presence,PLS-DA,p2,4,0.867049448101767,0.8414368650217707
T6_mba_pres,MBA Presence,RF,p2,0,0.8529460778478752,0.8609274742368267
T6_mba_pres,MBA Presence,RF,p2,1,0.9164868105515587,0.8955223880597014
T6_mba_pres,MBA Presence,RF,p2,2,0.9118881118881119,0.9533333333333334
T6_mba_pres,MBA Presence,RF,p2,3,0.8607968302883557,0.8191489361702128
T6_mba_pres,MBA Presence,RF,p2,4,1.0,1.0
T6_mba_pres,MBA Presence,SVM,p2,0,0.8857216170192914,0.9046276492319658
T6_mba_pres,MBA Presence,SVM,p2,1,0.8475528443750886,0.8462799638172772
T6_mba_pres,MBA Presence,SVM,p2,2,0.8403483309143687,0.79875
T6_mba_pres,MBA Presence,SVM,p2,3,0.76548463356974,0.7581509260676564
T6_mba_pres,MBA Presence,SVM,p2,4,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,p2,0,0.8552209070666823,0.8704063776006222
T6_mba_pres,MBA Presence,PLS-DA,p2,1,0.9172606319790924,0.8991971958389868
T6_mba_pres,MBA Presence,PLS-DA,p2,2,0.7954545454545454,0.7791666666666667
T6_mba_pres,MBA Presence,PLS-DA,p2,3,0.9065729047072331,0.9355579366294199
T6_mba_pres,MBA Presence,PLS-DA,p2,4,0.9596217735752619,0.9891304347826086
T7_mixture_order,Mixture Complexity,RF,p2,0,0.8652642731369564,0.8467348254582298
T7_mixture_order,Mixture Complexity,RF,p2,1,0.716994912821558,0.7203907203907204
T7_mixture_order,Mixture Complexity,RF,p2,2,0.7735786545855196,0.7532697066101095
T7_mixture_order,Mixture Complexity,RF,p2,3,0.7959060183779285,0.8083333333333332
T7_mixture_order,Mixture Complexity,RF,p2,4,0.7161714029136981,0.7166666666666667
T7_mixture_order,Mixture Complexity,SVM,p2,0,0.917905112422531,0.9294505797015957
T7_mixture_order,Mixture Complexity,SVM,p2,1,0.722897542551157,0.7234432234432235
T7_mixture_order,Mixture Complexity,SVM,p2,2,0.7329825697089275,0.7254584551774371
T7_mixture_order,Mixture Complexity,SVM,p2,3,0.8241916078997539,0.8421052631578947
T7_mixture_order,Mixture Complexity,SVM,p2,4,0.7264843000137118,0.7029411764705883
T7_mixture_order,Mixture Complexity,PLS-DA,p2,0,0.9196320503510046,0.9215915170971352
T7_mixture_order,Mixture Complexity,PLS-DA,p2,1,0.6363457581266398,0.6414594177752072
T7_mixture_order,Mixture Complexity,PLS-DA,p2,2,0.6446245614427764,0.6208144541919728
T7_mixture_order,Mixture Complexity,PLS-DA,p2,3,0.8222239886477718,0.8456140350877194
T7_mixture_order,Mixture Complexity,PLS-DA,p2,4,0.912975912975913,0.8833333333333333
