Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc
T1_thiram_conc,Thiram Concentration,RF,raw,0,0.7131785826324674,0.723029123158909
T1_thiram_conc,Thiram Concentration,RF,raw,1,0.5134326543152634,0.5435264105642257
T1_thiram_conc,Thiram Concentration,RF,raw,2,0.5071155752155354,0.5329647435897436
T1_thiram_conc,Thiram Concentration,RF,raw,3,0.4882456140350877,0.6044108989992432
T1_thiram_conc,Thiram Concentration,RF,raw,4,0.6398568428271398,0.6270985958485958
T1_thiram_conc,Thiram Concentration,SVM,raw,0,0.3829158615613129,0.3643623122857386
T1_thiram_conc,Thiram Concentration,SVM,raw,1,0.4556176866521694,0.5573409363745498
T1_thiram_conc,Thiram Concentration,SVM,raw,2,0.5715055590265219,0.5931089743589744
T1_thiram_conc,Thiram Concentration,SVM,raw,3,0.4906994047619047,0.6068343004513217
T1_thiram_conc,Thiram Concentration,SVM,raw,4,0.488514173998045,0.5125152625152625
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,0,0.5399814471243043,0.529596746176889
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,1,0.5744894812689183,0.5798514405762305
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,2,0.5359306955180742,0.529775641025641
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,3,0.7489420309408167,0.7526112185686653
T1_thiram_conc,Thiram Concentration,PLS-DA,raw,4,0.7329423403052573,0.7317880036630037
T2_mg_conc,MG Concentration,RF,raw,0,0.4373874446088799,0.4282283620518914
T2_mg_conc,MG Concentration,RF,raw,1,0.4974976626519276,0.5278723632534016
T2_mg_conc,MG Concentration,RF,raw,2,0.4550025931716035,0.5797538610038611
T2_mg_conc,MG Concentration,RF,raw,3,0.3894056301184996,0.4488879895158803
T2_mg_conc,MG Concentration,RF,raw,4,0.5566615327296799,0.5662534340659341
T2_mg_conc,MG Concentration,SVM,raw,0,0.3227131782945736,0.3480392156862745
T2_mg_conc,MG Concentration,SVM,raw,1,0.4841171052338654,0.5091107341809321
T2_mg_conc,MG Concentration,SVM,raw,2,0.4373709002977112,0.4887789575289575
T2_mg_conc,MG Concentration,SVM,raw,3,0.3242039640405466,0.4019021739130435
T2_mg_conc,MG Concentration,SVM,raw,4,0.2503156565656566,0.3407731554160125
T2_mg_conc,MG Concentration,PLS-DA,raw,0,0.5254224126693463,0.5103167529638117
T2_mg_conc,MG Concentration,PLS-DA,raw,1,0.4599626577260468,0.478073816199245
T2_mg_conc,MG Concentration,PLS-DA,raw,2,0.4678731762065096,0.5710666023166023
T2_mg_conc,MG Concentration,PLS-DA,raw,3,0.5222726385636222,0.6357789855072464
T2_mg_conc,MG Concentration,PLS-DA,raw,4,0.3279212666394075,0.4093485086342229
T3_mba_conc,MBA Concentration,RF,raw,0,0.4485382909042461,0.4507250827903002
T3_mba_conc,MBA Concentration,RF,raw,1,0.5053711550533584,0.5527534281550197
T3_mba_conc,MBA Concentration,RF,raw,2,0.5372378117913832,0.5614418642951251
T3_mba_conc,MBA Concentration,RF,raw,3,0.3552464365662451,0.3789410058027079
T3_mba_conc,MBA Concentration,RF,raw,4,0.6423016928136202,0.6783450938623352
T3_mba_conc,MBA Concentration,SVM,raw,0,0.3232682771175091,0.3442175871523698
T3_mba_conc,MBA Concentration,SVM,raw,1,0.3016872115987067,0.3659013046847019
T3_mba_conc,MBA Concentration,SVM,raw,2,0.3814347646123347,0.4337944664031621
T3_mba_conc,MBA Concentration,SVM,raw,3,0.1843282940151824,0.2478723404255319
T3_mba_conc,MBA Concentration,SVM,raw,4,0.3008452076482766,0.5033783783783784
T3_mba_conc,MBA Concentration,PLS-DA,raw,0,0.3330492946231556,0.3521721326069152
T3_mba_conc,MBA Concentration,PLS-DA,raw,1,0.5266621461912746,0.5453088597461729
T3_mba_conc,MBA Concentration,PLS-DA,raw,2,0.3952072676896845,0.4515027997364954
T3_mba_conc,MBA Concentration,PLS-DA,raw,3,0.3806471306471306,0.350709219858156
T3_mba_conc,MBA Concentration,PLS-DA,raw,4,0.3450223510933913,0.4903308480894687
T4_thiram_pres,Thiram Presence,RF,raw,0,0.7426352128883774,0.7426352128883774
T4_thiram_pres,Thiram Presence,RF,raw,1,0.8578838564179665,0.826734693877551
T4_thiram_pres,Thiram Presence,RF,raw,2,0.9415584415584416,0.9166666666666669
T4_thiram_pres,Thiram Presence,RF,raw,3,0.8454415954415955,0.8654775176514307
T4_thiram_pres,Thiram Presence,RF,raw,4,0.788000766724171,0.8558743169398907
T4_thiram_pres,Thiram Presence,SVM,raw,0,0.4258760107816711,0.5
T4_thiram_pres,Thiram Presence,SVM,raw,1,0.7107175895335007,0.6770068027210885
T4_thiram_pres,Thiram Presence,SVM,raw,2,0.8068620382543789,0.7604166666666667
T4_thiram_pres,Thiram Presence,SVM,raw,3,0.6597286942114529,0.6545893719806763
T4_thiram_pres,Thiram Presence,SVM,raw,4,0.5420289855072464,0.5555555555555556
T4_thiram_pres,Thiram Presence,PLS-DA,raw,0,0.5847953216374269,0.5798043728423475
T4_thiram_pres,Thiram Presence,PLS-DA,raw,1,0.8405448717948718,0.7959183673469388
T4_thiram_pres,Thiram Presence,PLS-DA,raw,2,0.7904761904761904,0.76125
T4_thiram_pres,Thiram Presence,PLS-DA,raw,3,0.9279907084785132,0.9130434782608696
T4_thiram_pres,Thiram Presence,PLS-DA,raw,4,0.7698135198135199,0.7222222222222222
T5_mg_pres,MG Presence,RF,raw,0,0.6828559273964833,0.6600279524807826
T5_mg_pres,MG Presence,RF,raw,1,0.6245283018867924,0.6150895140664961
T5_mg_pres,MG Presence,RF,raw,2,0.7634557344064385,0.7459677419354839
T5_mg_pres,MG Presence,RF,raw,3,0.63524178504807,0.6236301369863013
T5_mg_pres,MG Presence,RF,raw,4,0.8653409090909091,0.8514150943396226
T5_mg_pres,MG Presence,SVM,raw,0,0.6991525423728814,0.6666666666666666
T5_mg_pres,MG Presence,SVM,raw,1,0.7265576877517176,0.6847826086956521
T5_mg_pres,MG Presence,SVM,raw,2,0.7131190727081138,0.7027027027027027
T5_mg_pres,MG Presence,SVM,raw,3,0.4150943396226415,0.4520547945205479
T5_mg_pres,MG Presence,SVM,raw,4,0.3946360153256705,0.4858490566037736
T5_mg_pres,MG Presence,PLS-DA,raw,0,0.7229768786127169,0.6911250873515025
T5_mg_pres,MG Presence,PLS-DA,raw,1,0.5457208080285998,0.5455385052571754
T5_mg_pres,MG Presence,PLS-DA,raw,2,0.7531566665601126,0.7364864864864865
T5_mg_pres,MG Presence,PLS-DA,raw,3,0.6529161869218247,0.6666095890410959
T5_mg_pres,MG Presence,PLS-DA,raw,4,0.5315464895635673,0.5535195936139332
T6_mba_pres,MBA Presence,RF,raw,0,0.8463203463203464,0.8297686175384018
T6_mba_pres,MBA Presence,RF,raw,1,0.7737594100476264,0.7569538670284939
T6_mba_pres,MBA Presence,RF,raw,2,0.8600602611315702,0.8375
T6_mba_pres,MBA Presence,RF,raw,3,0.6934065934065934,0.7217204959436706
T6_mba_pres,MBA Presence,RF,raw,4,0.9859866962305986,0.9963768115942028
T6_mba_pres,MBA Presence,SVM,raw,0,0.519823258889657,0.5406377600622205
T6_mba_pres,MBA Presence,SVM,raw,1,0.6733585858585858,0.6633876074174582
T6_mba_pres,MBA Presence,SVM,raw,2,0.6626614060258249,0.6395833333333334
T6_mba_pres,MBA Presence,SVM,raw,3,0.4500626409421198,0.4779580590846471
T6_mba_pres,MBA Presence,SVM,raw,4,1.0,1.0
T6_mba_pres,MBA Presence,PLS-DA,raw,0,0.5102004716981132,0.5298463931557457
T6_mba_pres,MBA Presence,PLS-DA,raw,1,0.9943951556118856,0.9962121212121212
T6_mba_pres,MBA Presence,PLS-DA,raw,2,0.6373626373626373,0.6275
T6_mba_pres,MBA Presence,PLS-DA,raw,3,0.7421271538918598,0.7021276595744681
T6_mba_pres,MBA Presence,PLS-DA,raw,4,0.9299334811529932,0.9391304347826088
T7_mixture_order,Mixture Complexity,RF,raw,0,0.442437206778292,0.4800724018988422
T7_mixture_order,Mixture Complexity,RF,raw,1,0.6060062519090419,0.590868196131354
T7_mixture_order,Mixture Complexity,RF,raw,2,0.8864869307907283,0.898320425892006
T7_mixture_order,Mixture Complexity,RF,raw,3,0.7141975308641975,0.7263784461152882
T7_mixture_order,Mixture Complexity,RF,raw,4,0.7058410872053772,0.6864145658263306
T7_mixture_order,Mixture Complexity,SVM,raw,0,0.3321483997540335,0.3446479411098105
T7_mixture_order,Mixture Complexity,SVM,raw,1,0.5759077815927401,0.5547361994730416
T7_mixture_order,Mixture Complexity,SVM,raw,2,0.7805368759122779,0.7567482888267619
T7_mixture_order,Mixture Complexity,SVM,raw,3,0.4555612194327627,0.4281954887218045
T7_mixture_order,Mixture Complexity,SVM,raw,4,0.3950905320252054,0.4337535014005602
T7_mixture_order,Mixture Complexity,PLS-DA,raw,0,0.5598257080610022,0.6251276813074566
T7_mixture_order,Mixture Complexity,PLS-DA,raw,1,0.6874058980019244,0.6819291819291818
T7_mixture_order,Mixture Complexity,PLS-DA,raw,2,0.5647319230555163,0.5474348468781131
T7_mixture_order,Mixture Complexity,PLS-DA,raw,3,0.7744293312920764,0.7701754385964912
T7_mixture_order,Mixture Complexity,PLS-DA,raw,4,0.6403907474939662,0.6642857142857143
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,0,0.4293103448275862,0.4905344817414901
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,1,0.1882613510520487,0.2495238095238095
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,2,0.5149655865253078,0.5160096153846153
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,3,0.3978190849049442,0.3850054663190648
T1_thiram_conc,Thiram Concentration,1D-CNN,raw,4,0.2861111111111111,0.3501831501831501
T2_mg_conc,MG Concentration,1D-CNN,raw,0,0.3572333916083916,0.3904733610615963
T2_mg_conc,MG Concentration,1D-CNN,raw,1,0.3644442428183298,0.4576782936215508
T2_mg_conc,MG Concentration,1D-CNN,raw,2,0.21994001901836,0.3616071428571428
T2_mg_conc,MG Concentration,1D-CNN,raw,3,0.3902000777000777,0.4206521739130435
T2_mg_conc,MG Concentration,1D-CNN,raw,4,0.1398431665421956,0.2932692307692308
T3_mba_conc,MBA Concentration,1D-CNN,raw,0,0.4681291699169391,0.5067576469750383
T3_mba_conc,MBA Concentration,1D-CNN,raw,1,0.3313020693120838,0.380683339361638
T3_mba_conc,MBA Concentration,1D-CNN,raw,2,0.3223329767577555,0.3247159090909091
T3_mba_conc,MBA Concentration,1D-CNN,raw,3,0.2288390379278446,0.1992988394584139
T3_mba_conc,MBA Concentration,1D-CNN,raw,4,0.4503539369555729,0.5824790307548928
T4_thiram_pres,Thiram Presence,1D-CNN,raw,0,0.4258760107816711,0.5
T4_thiram_pres,Thiram Presence,1D-CNN,raw,1,0.4297994269340974,0.5
T4_thiram_pres,Thiram Presence,1D-CNN,raw,2,0.7699346405228759,0.75875
T4_thiram_pres,Thiram Presence,1D-CNN,raw,3,0.5699217636438504,0.5691192865105908
T4_thiram_pres,Thiram Presence,1D-CNN,raw,4,0.8446411012782694,0.9082422586520948
T5_mg_pres,MG Presence,1D-CNN,raw,0,0.6759920634920635,0.6596785464709993
T5_mg_pres,MG Presence,1D-CNN,raw,1,0.8878030445404999,0.867362887183859
T5_mg_pres,MG Presence,1D-CNN,raw,2,0.7884615384615385,0.7951176983435048
T5_mg_pres,MG Presence,1D-CNN,raw,3,0.4132492113564668,0.4486301369863014
T5_mg_pres,MG Presence,1D-CNN,raw,4,0.4015151515151515,0.5
T6_mba_pres,MBA Presence,1D-CNN,raw,0,0.5286512928022362,0.5433599066692592
T6_mba_pres,MBA Presence,1D-CNN,raw,1,0.8124167072972533,0.7835820895522387
T6_mba_pres,MBA Presence,1D-CNN,raw,2,0.7830434187097658,0.7870833333333334
T6_mba_pres,MBA Presence,1D-CNN,raw,3,0.5782312925170068,0.5735496709015766
T6_mba_pres,MBA Presence,1D-CNN,raw,4,0.4774728342567538,0.7210144927536232
T7_mixture_order,Mixture Complexity,1D-CNN,raw,0,0.3588278853274092,0.38922126562576
T7_mixture_order,Mixture Complexity,1D-CNN,raw,1,0.4947973398182301,0.5162264635948847
T7_mixture_order,Mixture Complexity,1D-CNN,raw,2,0.6037910166665421,0.6088415973092537
T7_mixture_order,Mixture Complexity,1D-CNN,raw,3,0.3010463920643561,0.3417293233082707
T7_mixture_order,Mixture Complexity,1D-CNN,raw,4,0.5806565412504875,0.5689075630252102
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,0,0.25658032887510496,0.29126600200578134
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,1,0.2498080694956043,0.2658033213285314
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,2,0.4041522407261102,0.4229326923076923
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,3,0.5839027084526635,0.5855815322512825
T1_thiram_conc,Thiram Concentration,1D-ResNet,raw,4,0.49125223860035816,0.5338827838827839
T2_mg_conc,MG Concentration,1D-ResNet,raw,0,0.24739096172953712,0.26054664289958407
T2_mg_conc,MG Concentration,1D-ResNet,raw,1,0.3655482456140351,0.4049645375052587
T2_mg_conc,MG Concentration,1D-ResNet,raw,2,0.17613918181622135,0.36160714285714285
T2_mg_conc,MG Concentration,1D-ResNet,raw,3,0.3417546285957213,0.38315217391304346
T2_mg_conc,MG Concentration,1D-ResNet,raw,4,0.37024588739573683,0.4590364992150706
T3_mba_conc,MBA Concentration,1D-ResNet,raw,0,0.4921839061148483,0.5176819606167432
T3_mba_conc,MBA Concentration,1D-ResNet,raw,1,0.5164010164010164,0.5962304700659212
T3_mba_conc,MBA Concentration,1D-ResNet,raw,2,0.34940895100754343,0.35671113306982877
T3_mba_conc,MBA Concentration,1D-ResNet,raw,3,0.3055520557949629,0.27884429400386845
T3_mba_conc,MBA Concentration,1D-ResNet,raw,4,0.2615024504425426,0.3887465051258155
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,0,0.5696969696969697,0.5754890678941312
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,1,0.500260601753139,0.5210204081632652
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,2,0.8563134978229319,0.8125
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,3,0.5623793436293436,0.5655890003716091
T4_thiram_pres,Thiram Presence,1D-ResNet,raw,4,0.6889231296010957,0.8114754098360656
T5_mg_pres,MG Presence,1D-ResNet,raw,0,0.8335600382021822,0.8356044723969253
T5_mg_pres,MG Presence,1D-ResNet,raw,1,0.7943461012767943,0.8150753054845127
T5_mg_pres,MG Presence,1D-ResNet,raw,2,0.7480624638519375,0.7381211857018308
T5_mg_pres,MG Presence,1D-ResNet,raw,3,0.5824437623127319,0.5780821917808219
T5_mg_pres,MG Presence,1D-ResNet,raw,4,0.3923076923076923,0.4811320754716981
T6_mba_pres,MBA Presence,1D-ResNet,raw,0,0.6171568627450981,0.6140871086914252
T6_mba_pres,MBA Presence,1D-ResNet,raw,1,0.7627186009538951,0.7386928991406603
T6_mba_pres,MBA Presence,1D-ResNet,raw,2,0.7056756756756757,0.7116666666666667
T6_mba_pres,MBA Presence,1D-ResNet,raw,3,0.8246464646464646,0.7836369202510333
T6_mba_pres,MBA Presence,1D-ResNet,raw,4,0.9859866962305986,0.9963768115942029
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,0,0.3781165437607155,0.4347001313293448
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,1,0.21693121693121695,0.3460413855150697
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,2,0.5153682710536026,0.5454906970018317
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,3,0.5160336739284107,0.487468671679198
T7_mixture_order,Mixture Complexity,1D-ResNet,raw,4,0.5375,0.5904761904761905
