Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std
T1_thiram_conc,Thiram Concentration,PLS-DA,p1,0.5915278062828316,0.083381157831924,0.6248983344918556,0.1038349371954485
T1_thiram_conc,Thiram Concentration,RF,p1,0.6463084052516802,0.0859639034688288,0.6797933720835518,0.0844557771803221
T1_thiram_conc,Thiram Concentration,SVM,p1,0.6627452774695797,0.0760696727538784,0.678032957610247,0.0926499826512298
T2_mg_conc,MG Concentration,PLS-DA,p1,0.3445626839825693,0.0465431034386768,0.4056067940139519,0.0547372340476041
T2_mg_conc,MG Concentration,RF,p1,0.4478069335787699,0.05985707153579,0.4689443518180562,0.0519447340202078
T2_mg_conc,MG Concentration,SVM,p1,0.3698510734088651,0.0625936674049291,0.3975716579494596,0.0856899370253699
T3_mba_conc,MBA Concentration,PLS-DA,p1,0.5532261182999882,0.1336245249351986,0.5896403357446081,0.1428162953534438
T3_mba_conc,MBA Concentration,RF,p1,0.6031202211054214,0.1765035907580519,0.6062369263499966,0.2093127844010848
T3_mba_conc,MBA Concentration,SVM,p1,0.5933820617035467,0.1577836745587408,0.6037711540661498,0.1816047725564439
T4_thiram_pres,Thiram Presence,PLS-DA,p1,0.8241453814234022,0.0721048135825622,0.8245522993765293,0.0829697436815663
T4_thiram_pres,Thiram Presence,RF,p1,0.8461568621313894,0.1078294099247917,0.8532870848876615,0.1085198978634121
T4_thiram_pres,Thiram Presence,SVM,p1,0.887958667204841,0.0926779691965853,0.8914176079580061,0.0884635300899003
T5_mg_pres,MG Presence,PLS-DA,p1,0.7671536687921526,0.1498235038518779,0.7680081252121101,0.1474747213616551
T5_mg_pres,MG Presence,RF,p1,0.7488784982632042,0.1237486235305908,0.7298820119485666,0.1169111144533766
T5_mg_pres,MG Presence,SVM,p1,0.7022911632121012,0.1493876187147098,0.6930210151598513,0.135827335722136
T6_mba_pres,MBA Presence,PLS-DA,p1,0.8980081944939418,0.0798628791844308,0.9093247845806662,0.0895370841915785
T6_mba_pres,MBA Presence,RF,p1,0.9144817394489316,0.0781308831662658,0.9050261462986366,0.0872531571815947
T6_mba_pres,MBA Presence,SVM,p1,0.8745183527564138,0.1040033481307472,0.8729015189648159,0.1152949830344911
T7_mixture_order,Mixture Complexity,PLS-DA,p1,0.7140628158116471,0.1706713612053397,0.711242725465878,0.1516344477167742
T7_mixture_order,Mixture Complexity,RF,p1,0.7491540338734395,0.0640601605951927,0.7477903904652293,0.0553848846722888
T7_mixture_order,Mixture Complexity,SVM,p1,0.7541844345544175,0.0431061198231849,0.7579286598280127,0.061707226389607
T1_thiram_conc,Thiram Concentration,1D-CNN,p1,0.4118780004341378,0.10685137333539567,0.4694378279258934,0.08469304954678918
T2_mg_conc,MG Concentration,1D-CNN,p1,0.2750945045273611,0.14028163034084776,0.35269873918112393,0.05920583943577539
T3_mba_conc,MBA Concentration,1D-CNN,p1,0.4833909459875814,0.1625255277169545,0.5253145610662113,0.1798743408770855
T4_thiram_pres,Thiram Presence,1D-CNN,p1,0.4841996442571329,0.07835231485953222,0.558544309812307,0.09433441136653381
T5_mg_pres,MG Presence,1D-CNN,p1,0.49672714797597584,0.09912164718857383,0.538017103427437,0.06592066086175997
T6_mba_pres,MBA Presence,1D-CNN,p1,0.8137172045733531,0.13108324139350208,0.8075313886940354,0.1498307076836497
T7_mixture_order,Mixture Complexity,1D-CNN,p1,0.4583651248273076,0.057429610720870584,0.49313724767099754,0.07195919976008508
