sample_id,file_path,file_name,folder_name,family,mixture_order,has_mba,has_thiram,has_mg,c_mba,c_thiram,c_mg,has_agnps,role_mba,group_id,parser_version,parse_note,fold_id
S0001,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_10.csv,SP_10.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0002,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_11.csv,SP_11.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0003,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_12.csv,SP_12.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0004,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_13.csv,SP_13.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0005,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_14.csv,SP_14.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0006,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_15.csv,SP_15.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0007,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_16.csv,SP_16.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0008,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_17.csv,SP_17.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0009,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_18.csv,SP_18.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0010,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_19.csv,SP_19.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0011,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_20.csv,SP_20.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0012,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_21.csv,SP_21.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0013,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_22.csv,SP_22.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0014,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_23.csv,SP_23.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0015,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_4.csv,SP_4.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0016,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_5.csv,SP_5.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
S0017,d:\通过拉曼光谱预测物及其浓度\混合数据\mba+福+孔\mba+银+0.4\SP_6.csv,SP_6.csv,mba+银+0.4,single,1,True,False,False,4,0,0,True,probe/reference,mba+银+0.4,v1.0,,1
