file_path,file_name,folder_name,c_thiram,c_mg,c_mba,has_thiram,has_mg,has_mba,mixture_order,family,sample_id,group_id,fold_id
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_1.csv,SP_1.csv,K4,0,4,0,False,True,False,1,single,S0001,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_10.csv,SP_10.csv,K4,0,4,0,False,True,False,1,single,S0002,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_11.csv,SP_11.csv,K4,0,4,0,False,True,False,1,single,S0003,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_12.csv,SP_12.csv,K4,0,4,0,False,True,False,1,single,S0004,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_18.csv,SP_18.csv,K4,0,4,0,False,True,False,1,single,S0005,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_19.csv,SP_19.csv,K4,0,4,0,False,True,False,1,single,S0006,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_2.csv,SP_2.csv,K4,0,4,0,False,True,False,1,single,S0007,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_20.csv,SP_20.csv,K4,0,4,0,False,True,False,1,single,S0008,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_21.csv,SP_21.csv,K4,0,4,0,False,True,False,1,single,S0009,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_22.csv,SP_22.csv,K4,0,4,0,False,True,False,1,single,S0010,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_23.csv,SP_23.csv,K4,0,4,0,False,True,False,1,single,S0011,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_24.csv,SP_24.csv,K4,0,4,0,False,True,False,1,single,S0012,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_25.csv,SP_25.csv,K4,0,4,0,False,True,False,1,single,S0013,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_26.csv,SP_26.csv,K4,0,4,0,False,True,False,1,single,S0014,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_3.csv,SP_3.csv,K4,0,4,0,False,True,False,1,single,S0015,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_4.csv,SP_4.csv,K4,0,4,0,False,True,False,1,single,S0016,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_5.csv,SP_5.csv,K4,0,4,0,False,True,False,1,single,S0017,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_6.csv,SP_6.csv,K4,0,4,0,False,True,False,1,single,S0018,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_7.csv,SP_7.csv,K4,0,4,0,False,True,False,1,single,S0019,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_8.csv,SP_8.csv,K4,0,4,0,False,True,False,1,single,S0020,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4\SP_9.csv,SP_9.csv,K4,0,4,0,False,True,False,1,single,S0021,K4,1
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_61.csv,SP_61.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0022,K4m4,3
d:\通过拉曼光谱预测物及其浓度\混合数据\美Km混合光谱\K4m4\SP_62.csv,SP_62.csv,K4m4,0,4,4,False,True,True,2,binary_MG_MBA,S0023,K4m4,3
