SP_100.csv,SP_101.csv,SP_102.csv,SP_89.csv,SP_90.csv,SP_91.csv,SP_92.csv,SP_93.csv,SP_94.csv,SP_95.csv,SP_96.csv,SP_97.csv,SP_98.csv,SP_99.csv
21619.5000,21276.0000,21087.0000,31538.0000,27954.0000,26419.5000,25358.0000,24562.5000,24114.5000,23424.0000,22864.0000,22534.0000,22302.5000,21817.5000
22578.5000,22360.5000,22083.0000,32963.5000,29424.0000,27676.5000,26618.5000,25934.5000,25323.5000,24543.0000,24134.5000,23679.5000,23406.5000,22941.5000
23957.0000,23628.0000,23314.0000,35079.0000,31116.0000,29420.0000,28341.0000,27496.0000,26719.5000,26017.5000,25515.0000,24992.0000,24784.5000,24282.0000
25571.5000,25347.5000,25049.0000,37531.5000,33380.0000,31493.0000,30342.5000,29400.0000,28750.0000,27959.0000,27406.5000,26828.5000,26456.5000,25973.5000
27271.5000,27024.0000,26590.0000,40422.0000,35963.5000,33970.5000,32498.0000,31593.0000,30809.0000,29852.5000,29339.5000,28701.5000,28288.5000,27801.5000
28942.0000,28596.5000,28193.5000,43192.5000,38263.0000,36103.0000,34615.0000,33624.0000,32536.0000,31744.5000,31100.5000,30490.0000,29976.5000,29367.5000
30067.0000,29641.5000,29363.5000,45062.0000,39916.5000,37723.5000,36122.0000,35059.0000,34055.0000,33120.0000,32235.0000,31779.5000,31187.0000,30617.5000
30317.0000,29942.5000,29408.5000,45744.5000,40445.0000,38056.0000,36526.0000,35259.5000,34268.5000,33220.0000,32527.0000,31870.5000,31401.0000,30769.5000
29429.5000,29017.5000,28609.0000,44426.5000,39549.0000,37028.0000,35400.0000,34242.5000,33364.0000,32310.5000,31437.0000,30946.5000,30452.0000,29938.0000
27878.5000,27616.5000,27128.5000,42142.5000,37253.5000,35086.0000,33559.0000,32560.5000,31618.5000,30619.5000,29879.0000,29419.0000,28953.0000,28356.5000
26504.5000,26005.5000,25790.0000,39915.0000,35262.0000,33261.5000,31818.0000,30796.5000,29928.0000,28946.5000,28458.5000,27864.0000,27322.5000,26813.0000
25932.5000,25543.5000,25081.5000,38800.5000,34199.0000,32259.5000,30974.0000,29874.0000,29068.0000,28238.5000,27571.5000,27097.0000,26691.5000,26159.5000
26263.5000,25882.0000,25679.0000,39723.5000,35034.0000,32983.5000,31651.5000,30580.5000,29796.5000,28889.5000,28193.5000,27679.5000,27285.0000,26758.5000
27625.0000,27246.0000,26780.0000,41688.5000,36922.0000,34663.0000,33341.5000,32236.5000,31174.0000,30385.0000,29605.5000,29060.5000,28676.0000,28075.5000
29036.5000,28612.0000,28138.0000,43863.0000,38747.0000,36451.0000,34857.0000,33706.0000,32772.0000,31641.5000,31059.5000,30356.5000,30048.0000,29507.5000
29311.5000,28772.5000,28420.5000,44230.0000,39089.0000,36873.5000,35234.0000,34074.5000,33125.0000,32150.5000,31422.0000,30737.5000,30291.0000,29774.5000
28189.0000,27743.0000,27286.5000,42335.0000,37477.5000,35338.0000,33769.0000,32766.5000,31864.5000,30848.5000,30163.0000,29552.0000,29113.5000,28485.5000
26152.5000,25806.5000,25393.0000,38975.0000,34552.0000,32681.5000,31185.0000,30308.0000,29432.5000,28587.5000,28000.0000,27496.0000,27038.0000,26642.5000
24119.5000,23891.5000,23541.0000,35839.0000,31848.5000,30053.0000,28766.5000,27867.0000,27113.0000,26356.0000,25930.0000,25241.5000,25046.5000,24675.5000
22598.0000,22150.0000,21897.5000,33281.0000,29465.0000,27640.0000,26757.5000,25949.0000,25225.0000,24628.0000,24075.5000,23528.5000,23259.5000,22887.5000
21379.5000,21129.5000,20833.5000,31568.0000,27863.0000,26351.5000,25211.5000,24515.5000,23917.0000,23281.0000,22697.0000,22324.0000,22058.0000,21653.0000
20653.0000,20367.0000,20225.0000,30306.5000,26919.0000,25461.5000,24392.0000,23788.0000,23190.5000,22408.0000,22100.0000,21538.0000,21288.0000,20877.5000
20196.5000,19972.0000,19749.5000,29685.0000,26334.0000,24886.0000,23915.0000,23141.5000,22620.0000,21982.5000,21486.5000,21058.5000,20891.0000,20543.5000
19940.0000,19627.5000,19498.5000,29351.0000,26029.0000,24602.0000,23465.5000,22857.0000,22306.5000,21717.0000,21191.5000,20816.5000,20542.5000,20286.0000
19738.0000,19548.5000,19312.0000,29162.5000,25693.0000,24388.5000,23375.0000,22716.5000,22187.0000,21516.0000,21169.0000,20707.0000,20462.0000,20042.5000
19717.0000,19500.0000,19158.0000,28962.5000,25588.5000,24281.5000,23188.5000,22514.0000,22073.0000,21338.5000,20992.5000,20623.5000,20405.5000,20015.0000
19432.0000,19262.5000,19073.5000,28655.0000,25295.5000,24092.0000,23025.0000,22328.0000,21761.0000,21271.5000,20829.0000,20340.5000,20079.5000,19717.0000
19326.0000,19106.0000,18821.5000,28410.0000,25225.5000,23714.0000,22762.5000,22264.5000,21645.0000,21123.0000,20630.0000,20245.5000,19917.0000,19715.5000
19225.0000,18917.5000,18679.5000,28088.0000,24996.0000,23467.5000,22562.0000,21931.5000,21446.0000,20947.0000,20513.0000,20019.5000,19831.0000,19436.5000
18977.0000,18793.0000,18550.5000,27884.0000,24734.0000,23350.5000,22401.5000,21776.5000,21213.0000,20605.5000,20314.0000,19864.0000,19607.0000,19343.0000
18724.0000,18557.0000,18399.0000,27342.5000,24343.0000,23030.5000,22198.0000,21449.5000,21066.0000,20285.0000,20063.5000,19571.5000,19366.0000,18985.0000
18639.5000,18343.5000,18171.0000,27414.0000,24141.5000,22908.5000,21922.5000,21332.0000,20826.0000,20322.0000,19878.5000,19489.5000,19268.5000,18941.5000
18510.0000,18177.5000,18174.5000,27181.0000,24137.5000,22711.5000,21823.5000,21188.0000,20620.0000,20110.5000,19741.0000,19366.0000,19140.0000,18840.5000
18479.0000,18281.5000,17976.5000,27162.5000,23998.0000,22717.5000,21799.0000,21219.5000,20732.5000,20061.0000,19731.5000,19328.5000,19093.5000,18762.5000
18587.5000,18330.5000,18257.5000,27255.5000,24109.0000,22910.5000,21909.5000,21269.5000,20814.5000,20189.5000,19620.0000,19493.5000,19234.0000,18914.5000
18657.0000,18409.5000,18189.0000,27406.0000,24128.5000,22764.0000,22057.0000,21389.5000,20892.0000,20178.5000,19779.5000,19481.0000,19205.0000,18935.5000
18481.0000,18352.0000,18094.0000,27306.5000,24241.5000,22710.5000,21865.0000,21240.5000,20729.5000,20075.0000,19730.0000,19374.0000,19073.5000,18849.5000
18321.0000,18061.0000,17839.0000,26666.0000,23638.5000,22369.0000,21473.5000,20898.0000,20419.0000,19730.5000,19442.0000,19064.0000,18812.0000,18592.5000
17794.0000,17748.0000,17412.0000,26087.0000,23085.5000,21820.5000,20865.0000,20229.0000,19856.5000,19315.0000,18997.5000,18594.0000,18347.5000,18088.0000
17421.0000,17207.0000,17059.0000,25334.5000,22447.5000,21292.5000,20352.5000,19794.0000,19476.5000,18827.5000,18523.5000,18156.0000,17956.0000,17687.5000
17160.0000,16917.0000,16749.5000,24940.0000,21979.0000,20885.0000,20045.5000,19569.5000,19044.0000,18560.0000,18283.5000,17902.5000,17710.5000,17463.0000
16861.0000,16569.0000,16511.5000,24503.0000,21812.5000,20507.0000,19744.5000,19130.5000,18773.5000,18103.0000,17882.5000,17458.0000,17318.0000,17048.0000
