SP_61.csv,SP_62.csv,SP_63.csv,SP_65.csv,SP_67.csv,SP_68.csv,SP_69.csv,SP_70.csv,SP_71.csv,SP_72.csv,SP_73.csv,SP_74.csv,SP_75.csv,SP_76.csv
326.5000,280.5000,223.5000,251.0000,205.5000,195.5000,156.5000,235.5000,192.0000,127.5000,117.5000,271.5000,228.5000,114.5000
347.5000,304.5000,255.5000,255.5000,235.5000,186.0000,179.0000,245.5000,190.5000,160.0000,170.0000,269.5000,225.5000,143.0000
319.5000,295.5000,211.5000,231.5000,213.0000,167.5000,140.5000,225.5000,167.5000,137.0000,129.5000,269.5000,207.5000,96.5000
347.5000,275.5000,252.5000,262.5000,241.5000,185.5000,141.0000,252.0000,170.5000,130.5000,142.0000,272.5000,227.0000,135.0000
371.5000,310.5000,291.0000,288.5000,231.0000,204.5000,202.0000,275.5000,223.0000,194.0000,145.5000,310.5000,234.0000,153.5000
350.5000,329.5000,275.0000,286.5000,232.5000,200.5000,199.0000,234.0000,196.5000,173.5000,176.5000,279.5000,254.5000,149.5000
370.0000,340.0000,275.0000,263.0000,243.0000,191.5000,195.0000,272.5000,223.5000,172.0000,153.0000,309.0000,257.5000,147.5000
400.5000,327.5000,294.5000,325.0000,289.0000,218.0000,199.0000,284.5000,211.5000,200.0000,175.0000,325.0000,257.5000,182.5000
463.5000,401.0000,359.0000,347.0000,299.0000,267.0000,264.5000,314.0000,254.5000,263.5000,205.5000,362.5000,305.5000,210.0000
432.0000,388.5000,320.0000,328.0000,325.0000,280.0000,228.5000,327.0000,256.0000,226.5000,233.0000,355.5000,309.5000,210.0000
536.5000,460.0000,389.5000,403.0000,377.5000,329.5000,309.0000,381.5000,346.5000,275.5000,296.0000,428.0000,385.0000,279.0000
1165.5000,1144.5000,1048.0000,1072.0000,1051.5000,987.0000,995.0000,1078.0000,993.0000,979.0000,953.5000,1096.0000,1035.5000,923.5000
4273.5000,4427.5000,4083.0000,4067.5000,4078.5000,4097.5000,4143.0000,4289.5000,4294.0000,4078.0000,4026.5000,4096.5000,3969.0000,3862.0000
6953.5000,7146.5000,7086.5000,6745.5000,7059.0000,7030.0000,7102.5000,7236.5000,7203.5000,6915.5000,6757.5000,7046.0000,6829.5000,6626.0000
9280.5000,9265.0000,9474.5000,9100.5000,9130.5000,9239.0000,9182.5000,9315.0000,9224.5000,9168.5000,9096.0000,9233.0000,9513.0000,9353.5000
13349.0000,13300.5000,13364.0000,13167.5000,13376.5000,13489.0000,13387.5000,13354.0000,13073.5000,13224.0000,13139.5000,13516.5000,13944.0000,13831.5000
9848.5000,9930.5000,9719.0000,9544.5000,9797.0000,9750.5000,9772.0000,9720.0000,9350.0000,9558.0000,9623.5000,9769.0000,10112.0000,10043.5000
3791.5000,3805.5000,3677.5000,3556.0000,3781.0000,3702.5000,3623.5000,3627.5000,3438.0000,3450.0000,3455.0000,3732.0000,3643.5000,3618.0000
938.5000,882.0000,794.0000,839.0000,769.0000,729.5000,683.0000,760.5000,684.0000,687.5000,610.0000,839.5000,748.0000,659.0000
576.5000,526.5000,466.0000,458.5000,447.5000,396.5000,354.5000,458.5000,354.5000,341.0000,347.0000,483.0000,417.0000,324.5000
497.0000,445.0000,386.5000,391.5000,345.0000,310.0000,292.0000,364.0000,328.5000,257.5000,276.5000,377.5000,342.5000,250.5000
540.0000,485.5000,428.5000,432.5000,410.5000,332.5000,322.0000,396.0000,323.0000,338.5000,323.0000,413.5000,361.0000,277.5000
535.0000,472.0000,423.5000,407.0000,366.0000,317.5000,286.0000,358.0000,292.0000,266.0000,289.0000,398.5000,339.0000,267.0000
520.5000,479.5000,392.5000,364.5000,360.5000,265.5000,270.0000,361.0000,274.5000,243.5000,260.0000,391.0000,320.5000,230.5000
534.0000,479.0000,376.0000,422.5000,354.5000,315.5000,291.0000,359.5000,287.0000,258.0000,271.0000,382.0000,345.5000,240.5000
553.5000,484.0000,409.0000,400.5000,360.5000,345.0000,298.5000,394.5000,334.5000,304.0000,276.0000,415.0000,335.0000,251.0000
573.5000,493.0000,421.0000,423.5000,391.5000,344.5000,291.0000,389.5000,297.0000,261.5000,282.0000,392.0000,348.5000,268.0000
