SP_146.csv,SP_147.csv,SP_148.csv,SP_149.csv,SP_150.csv,SP_151.csv,SP_152.csv,SP_153.csv,SP_154.csv,SP_155.csv,SP_156.csv,SP_157.csv,SP_158.csv,SP_159.csv,SP_160.csv
1336.5000,1146.5000,1102.0000,1107.0000,1072.0000,1048.5000,1075.5000,1037.0000,916.5000,957.0000,983.5000,991.5000,944.5000,915.0000,931.5000
1328.5000,1146.0000,1113.5000,1123.5000,1095.0000,1058.5000,1073.5000,1045.0000,913.0000,945.5000,1013.0000,996.0000,936.5000,915.5000,893.0000
1357.5000,1149.5000,1112.0000,1123.0000,1098.0000,1077.5000,1093.5000,1084.0000,937.5000,995.0000,1004.0000,1009.5000,932.5000,940.0000,934.5000
1324.5000,1127.5000,1066.0000,1106.5000,1084.0000,1052.5000,1028.0000,992.5000,907.5000,957.5000,967.0000,977.5000,900.5000,915.0000,898.5000
1316.0000,1121.5000,1051.5000,1111.0000,1027.5000,1066.5000,1067.0000,1016.0000,887.0000,953.5000,986.5000,959.0000,943.0000,910.5000,914.0000
1306.0000,1147.5000,1062.5000,1136.0000,1056.5000,1063.0000,1066.0000,1036.0000,932.0000,914.0000,994.0000,976.0000,903.0000,930.5000,924.0000
1281.5000,1119.0000,1102.0000,1080.0000,1035.0000,1037.0000,1022.5000,1042.5000,879.0000,935.5000,946.0000,973.0000,906.0000,877.0000,878.0000
1278.0000,1135.5000,1091.0000,1106.5000,1071.5000,1061.5000,1032.5000,1022.0000,916.5000,936.0000,951.0000,942.0000,944.0000,900.5000,904.5000
1290.0000,1142.0000,1069.0000,1125.0000,1058.5000,1068.0000,1074.5000,1028.5000,925.5000,948.0000,992.0000,984.0000,958.5000,899.5000,940.5000
1248.0000,1081.5000,1031.5000,1067.5000,1024.0000,1036.0000,1006.0000,983.5000,863.5000,875.5000,973.0000,910.5000,875.5000,848.5000,881.0000
1289.0000,1087.5000,1041.0000,1033.5000,1054.5000,1006.5000,1028.0000,1030.0000,903.5000,903.0000,961.5000,960.0000,912.5000,911.5000,854.5000
1276.5000,1101.5000,1066.5000,1073.5000,1027.0000,1059.0000,1042.0000,1036.5000,931.0000,913.5000,963.5000,962.5000,922.5000,887.5000,918.0000
1242.0000,1050.0000,1010.0000,1077.0000,1040.0000,1016.5000,1015.5000,1012.0000,851.0000,911.0000,953.0000,950.0000,853.5000,874.0000,840.0000
1241.0000,1055.0000,1008.0000,1043.5000,1023.5000,1024.5000,1015.0000,993.5000,888.0000,873.5000,924.5000,906.5000,856.0000,837.0000,871.0000
1288.5000,1102.5000,1035.0000,1072.0000,1028.0000,1012.5000,1028.5000,1007.0000,879.5000,918.0000,980.0000,947.0000,909.0000,920.0000,864.5000
1272.5000,1082.0000,1013.5000,1054.0000,1039.0000,1032.5000,1018.5000,979.5000,870.5000,918.0000,952.0000,930.5000,897.5000,862.0000,858.0000
1291.5000,1111.0000,1036.0000,1048.5000,1058.0000,1023.0000,1042.0000,973.5000,869.5000,918.0000,980.0000,985.5000,915.5000,883.5000,858.5000
1271.0000,1096.0000,1055.5000,1059.0000,1030.0000,1032.0000,1001.5000,1009.0000,873.5000,915.5000,939.0000,899.0000,882.5000,880.0000,864.0000
1228.5000,1088.5000,1035.0000,1032.5000,1025.5000,1020.0000,978.5000,975.0000,873.5000,895.0000,960.5000,924.5000,882.0000,892.0000,852.0000
1178.5000,1024.5000,987.5000,1000.5000,1024.5000,972.5000,974.0000,971.0000,873.0000,884.5000,913.0000,882.5000,846.0000,812.0000,829.5000
1225.5000,1032.0000,980.0000,1006.0000,988.0000,982.0000,1013.0000,931.0000,834.0000,858.5000,930.5000,899.5000,861.0000,838.5000,842.5000
