SP_13.csv,SP_14.csv,SP_15.csv,SP_16.csv,SP_17.csv,SP_18.csv,SP_19.csv,SP_20.csv,SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv
14537.0000,12170.5000,11117.5000,10358.0000,9720.0000,9299.5000,8861.0000,8591.0000,8282.5000,8074.5000,7836.5000,7720.0000,7613.0000,7436.5000,7340.5000
15383.5000,12967.5000,11834.5000,10869.5000,10336.5000,9873.0000,9397.0000,9105.0000,8848.5000,8573.5000,8358.0000,8104.0000,8005.0000,7881.5000,7749.5000
16467.5000,13907.0000,12678.5000,11663.0000,11020.5000,10525.0000,10122.5000,9780.5000,9470.5000,9113.5000,8909.5000,8765.5000,8524.5000,8371.0000,8287.5000
17794.0000,15018.0000,13625.0000,12601.5000,11818.5000,11285.0000,10823.5000,10428.5000,10176.5000,9920.0000,9658.0000,9331.0000,9201.5000,9064.5000,8753.5000
19324.0000,16278.5000,14868.5000,13585.0000,12778.0000,12322.0000,11672.0000,11232.0000,10958.5000,10616.5000,10348.0000,10122.0000,9916.5000,9684.0000,9507.5000
20923.5000,17473.5000,15898.0000,14620.5000,13687.5000,13091.5000,12504.0000,12055.5000,11651.0000,11325.5000,10954.5000,10708.0000,10520.0000,10254.0000,10096.5000
22059.0000,18362.0000,16610.5000,15337.0000,14354.5000,13621.0000,12921.0000,12434.5000,11999.5000,11700.0000,11309.0000,11049.5000,10877.0000,10622.0000,10399.0000
22739.0000,18688.0000,16911.5000,15415.0000,14428.5000,13653.5000,13011.0000,12446.5000,11987.0000,11583.5000,11265.5000,11001.5000,10726.0000,10418.0000,10247.5000
22256.0000,18204.0000,16423.0000,14983.5000,13965.5000,13229.5000,12569.5000,12050.0000,11560.5000,11202.0000,10754.5000,10463.0000,10321.0000,10051.0000,9772.5000
21176.0000,17266.0000,15437.0000,14038.0000,13195.0000,12505.5000,11785.0000,11295.0000,10874.0000,10604.5000,10183.0000,9895.5000,9690.0000,9434.0000,9214.0000
19732.5000,16262.5000,14670.5000,13281.5000,12418.5000,11756.5000,11108.0000,10623.5000,10358.0000,9963.5000,9625.0000,9454.5000,9226.0000,9012.0000,8803.0000
18831.5000,15583.5000,13970.5000,12827.0000,11973.0000,11430.0000,10865.5000,10385.5000,10084.5000,9765.5000,9377.0000,9233.5000,9003.5000,8790.0000,8667.0000
18742.5000,15601.0000,14121.5000,13001.0000,12140.5000,11561.0000,11033.0000,10571.5000,10223.0000,9986.0000,9623.0000,9397.5000,9223.5000,9092.0000,8843.0000
19645.5000,16256.5000,14816.5000,13613.5000,12728.5000,12145.0000,11474.5000,11106.5000,10743.0000,10442.0000,10077.5000,9921.0000,9677.5000,9471.5000,9303.5000
20825.0000,17091.0000,15421.0000,14255.0000,13306.0000,12677.0000,11970.0000,11508.5000,11145.5000,10824.5000,10466.0000,10257.0000,10062.5000,9762.0000,9609.0000
21190.5000,17410.0000,15630.5000,14314.0000,13358.5000,12747.0000,11992.5000,11592.0000,11223.5000,10940.0000,10535.5000,10309.5000,10049.5000,9849.0000,9595.0000
20413.0000,16614.0000,15023.5000,13680.5000,12850.5000,12158.0000,11538.0000,11087.0000,10655.5000,10396.5000,10067.0000,9831.0000,9602.0000,9380.5000,9180.0000
18838.5000,15284.5000,13830.5000,12696.0000,11824.0000,11265.5000,10697.5000,10269.5000,9860.0000,9544.0000,9289.0000,9091.5000,8924.5000,8628.5000,8572.5000
17124.0000,14037.0000,12562.5000,11496.0000,10819.0000,10251.0000,9695.0000,9421.0000,9030.5000,8763.0000,8521.0000,8328.0000,8116.5000,7980.5000,7839.5000
15680.5000,12839.5000,11588.5000,10572.0000,9917.5000,9371.5000,8967.0000,8589.5000,8309.0000,8132.0000,7795.5000,7646.5000,7507.5000,7358.5000,7175.5000
14673.5000,12075.0000,10819.5000,9889.0000,9282.0000,8800.0000,8405.5000,8131.0000,7757.5000,7686.5000,7386.5000,7209.5000,7105.5000,6915.5000,6741.0000
13968.0000,11581.0000,10525.0000,9560.5000,8938.5000,8577.0000,8144.0000,7845.0000,7580.0000,7359.5000,7115.0000,6995.5000,6853.5000,6760.0000,6602.0000
13755.0000,11375.5000,10219.0000,9400.5000,8783.0000,8415.5000,7951.0000,7697.0000,7424.5000,7172.0000,6998.5000,6823.5000,6702.5000,6578.0000,6367.5000
13601.5000,11145.5000,10121.0000,9319.5000,8713.0000,8310.5000,7927.0000,7551.0000,7364.0000,7164.5000,6883.5000,6774.5000,6603.0000,6465.0000,6350.5000
13504.5000,11205.0000,9997.5000,9291.5000,8655.0000,8247.5000,7812.0000,7592.0000,7262.0000,7061.0000,6867.0000,6741.0000,6607.5000,6466.5000,6324.5000
13560.5000,11199.0000,10065.0000,9269.5000,8678.0000,8297.0000,7845.5000,7588.5000,7326.0000,7079.5000,6943.0000,6693.5000,6628.5000,6446.5000,6283.0000
13486.0000,11099.0000,9974.5000,9077.5000,8527.0000,8283.5000,7782.5000,7482.5000,7271.5000,7081.0000,6819.5000,6648.0000,6536.5000,6445.5000,6269.5000
13422.5000,11006.5000,9993.0000,9095.0000,8565.5000,8140.5000,7738.0000,7438.5000,7186.5000,7011.0000,6729.5000,6606.0000,6512.0000,6333.0000,6170.0000
13254.0000,10950.5000,9882.0000,9041.5000,8517.0000,8106.5000,7667.5000,7379.5000,7154.5000,6931.0000,6760.5000,6582.5000,6510.0000,6320.5000,6193.5000
13037.0000,10816.0000,9767.5000,8935.5000,8396.5000,7969.0000,7579.0000,7356.0000,7098.5000,6798.0000,6604.0000,6529.5000,6409.0000,6199.0000,6142.0000
12982.5000,10709.5000,9686.0000,8882.0000,8264.0000,7933.5000,7521.5000,7292.5000,7077.0000,6845.5000,6586.0000,6507.0000,6351.0000,6209.5000,6081.0000
12779.5000,10616.0000,9640.0000,8858.5000,8301.0000,7870.0000,7510.0000,7257.0000,6973.5000,6771.0000,6587.0000,6403.5000,6331.0000,6147.0000,6040.0000
12657.0000,10505.5000,9471.5000,8646.5000,8218.5000,7848.0000,7426.0000,7186.5000,6941.0000,6721.0000,6467.5000,6364.0000,6288.0000,6110.5000,5985.0000
12594.5000,10479.0000,9527.5000,8701.0000,8170.0000,7819.0000,7412.5000,7135.0000,6915.0000,6699.0000,6468.5000,6379.0000,6221.0000,6095.5000,5990.5000
12780.0000,10571.5000,9512.5000,8705.5000,8176.5000,7865.0000,7466.0000,7202.5000,6948.0000,6684.0000,6512.5000,6316.0000,6273.0000,6135.0000,5974.5000
12658.5000,10563.0000,9554.0000,8766.0000,8249.5000,7886.5000,7478.5000,7143.0000,6983.5000,6628.5000,6563.0000,6364.0000,6312.5000,6161.0000,5999.5000
12681.5000,10491.5000,9553.5000,8836.0000,8143.5000,7816.0000,7416.5000,7162.0000,6905.5000,6721.0000,6497.0000,6323.0000,6249.0000,6148.0000,5982.0000
12611.5000,10374.5000,9425.5000,8667.0000,8160.0000,7784.0000,7369.5000,7042.5000,6878.0000,6638.0000,6418.0000,6322.0000,6151.5000,6078.5000,5934.5000
12139.0000,10099.5000,9152.5000,8406.5000,7933.0000,7517.5000,7210.5000,6942.0000,6652.5000,6488.0000,6265.0000,6186.0000,5973.0000,5893.5000,5777.5000
