SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_14.csv,SP_15.csv,SP_16.csv,SP_17.csv,SP_18.csv,SP_19.csv,SP_2.csv,SP_20.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
229.5000,166.0000,107.5000,199.0000,99.5000,206.0000,232.0000,221.5000,120.0000,203.0000,163.5000,206.0000,80.0000,197.0000,64.5000,75.0000,38.0000,169.5000,106.0000,204.5000
229.5000,195.0000,100.5000,227.0000,93.5000,225.5000,239.0000,237.5000,115.5000,215.5000,192.5000,217.0000,108.5000,206.5000,66.0000,48.0000,60.0000,197.0000,126.0000,224.5000
205.0000,175.0000,72.0000,219.5000,83.0000,218.5000,232.5000,221.5000,97.5000,214.5000,168.0000,217.0000,86.0000,197.5000,30.5000,25.0000,72.5000,146.5000,100.5000,224.0000
234.0000,174.0000,98.5000,223.0000,100.5000,229.5000,242.5000,242.5000,130.0000,223.5000,162.0000,198.5000,91.0000,181.5000,52.0000,68.5000,83.5000,178.0000,100.5000,266.0000
262.5000,200.0000,140.5000,259.5000,112.5000,251.0000,261.5000,250.0000,144.0000,243.5000,212.5000,239.0000,109.0000,251.5000,92.0000,106.5000,114.0000,214.5000,141.0000,242.5000
247.0000,192.0000,99.5000,247.5000,90.5000,275.5000,279.5000,223.0000,119.0000,228.0000,202.5000,235.5000,143.0000,215.5000,74.5000,61.0000,82.0000,208.0000,101.5000,252.5000
241.0000,193.5000,97.5000,233.5000,122.0000,264.0000,243.5000,233.0000,134.0000,238.5000,194.0000,239.5000,99.0000,242.0000,79.0000,69.0000,90.5000,184.0000,100.5000,242.0000
283.0000,208.0000,110.5000,250.5000,119.0000,267.5000,250.0000,264.5000,152.5000,248.5000,200.5000,244.0000,127.0000,242.5000,88.0000,112.5000,112.5000,216.5000,162.5000,255.0000
303.5000,259.0000,190.5000,297.0000,182.0000,347.0000,311.0000,310.5000,183.5000,298.5000,259.5000,289.5000,169.5000,292.5000,138.5000,125.5000,134.0000,253.5000,182.5000,313.5000
303.0000,265.5000,179.5000,299.5000,158.0000,346.5000,341.5000,313.0000,174.5000,284.5000,246.5000,298.5000,170.5000,244.0000,123.5000,125.5000,135.0000,218.5000,210.0000,301.0000
