SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv,SP_28.csv,SP_29.csv,SP_30.csv,SP_31.csv,SP_32.csv,SP_33.csv,SP_34.csv,SP_35.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv
294.5000,260.0000,247.5000,278.5000,193.0000,185.5000,228.5000,75.5000,81.5000,225.0000,110.0000,194.5000,56.5000,47.0000,155.5000,66.0000,272.0000,187.5000,176.0000
308.5000,283.0000,264.0000,307.5000,210.5000,221.0000,256.0000,97.0000,69.0000,243.0000,128.0000,197.5000,45.0000,64.5000,210.0000,69.0000,270.0000,230.5000,185.0000
299.5000,257.0000,233.0000,274.5000,222.0000,198.0000,213.5000,57.0000,73.5000,223.5000,135.5000,175.0000,52.5000,44.0000,184.5000,49.5000,248.0000,217.0000,205.5000
337.0000,285.0000,236.0000,284.5000,222.5000,249.5000,226.0000,105.5000,105.0000,262.0000,126.5000,196.5000,59.0000,68.5000,184.0000,57.0000,270.5000,227.5000,184.0000
361.0000,324.5000,303.0000,308.5000,256.5000,232.0000,260.5000,114.0000,103.0000,290.5000,149.5000,198.0000,109.5000,84.0000,187.0000,71.5000,279.5000,256.5000,241.0000
367.0000,308.5000,269.0000,327.0000,268.5000,227.0000,263.5000,117.0000,123.0000,248.5000,168.5000,203.5000,84.0000,66.0000,225.0000,73.0000,282.5000,271.5000,220.5000
358.0000,336.5000,267.5000,302.0000,244.5000,230.0000,217.0000,102.5000,122.5000,233.0000,180.0000,199.0000,75.5000,68.5000,206.5000,64.0000,307.5000,248.5000,238.0000
362.0000,330.5000,288.5000,332.5000,238.0000,261.0000,262.0000,142.0000,115.0000,290.0000,156.5000,212.0000,69.5000,83.0000,210.5000,77.0000,304.0000,250.5000,248.5000
413.0000,362.0000,357.5000,403.0000,296.0000,318.0000,319.5000,153.0000,147.5000,313.0000,217.0000,257.5000,119.5000,139.5000,259.0000,114.0000,356.0000,294.0000,300.0000
414.0000,403.0000,334.5000,346.5000,298.0000,315.0000,311.5000,188.0000,163.0000,315.0000,225.5000,276.5000,106.0000,124.0000,247.0000,104.5000,349.5000,294.0000,277.5000
473.5000,445.5000,413.5000,432.5000,349.0000,360.0000,331.0000,220.5000,219.0000,370.5000,264.5000,276.0000,186.0000,166.0000,286.5000,142.0000,413.5000,322.0000,340.0000
1044.0000,1037.0000,992.5000,1038.5000,1013.0000,1026.0000,870.0000,731.5000,709.0000,906.5000,770.0000,780.0000,616.0000,617.0000,741.5000,623.0000,942.0000,858.0000,845.0000
3696.0000,3727.5000,3811.5000,3813.5000,3834.5000,3854.0000,3282.0000,3124.0000,3074.0000,3197.0000,3176.0000,2662.0000,2614.5000,2667.5000,2668.0000,2765.0000,3226.5000,3193.5000,3220.5000
6158.5000,6217.5000,6246.0000,6296.0000,6455.0000,6335.0000,5494.0000,5331.5000,5276.0000,5633.5000,5746.0000,4528.5000,4516.0000,4511.5000,4482.0000,4659.5000,5571.0000,5464.0000,5406.0000
8313.5000,8301.0000,8325.5000,8441.0000,8418.0000,8460.0000,7311.5000,7256.5000,7184.0000,7461.5000,7537.5000,5954.5000,5820.0000,5957.5000,6238.0000,6405.5000,7368.0000,7126.5000,7135.5000
12140.5000,12114.0000,12081.5000,12375.0000,12203.0000,12074.5000,10444.0000,10376.0000,10358.0000,10877.0000,10792.0000,8916.0000,8528.0000,8530.0000,9225.0000,9523.0000,10631.0000,10185.5000,10292.5000
9075.0000,9118.0000,9053.0000,9146.0000,9117.5000,9085.0000,7844.0000,7831.0000,7864.0000,8169.5000,8201.5000,6743.0000,6519.0000,6429.0000,6814.5000,6846.5000,8014.5000,7772.0000,7703.5000
3570.0000,3649.0000,3582.5000,3474.0000,3428.0000,3428.0000,3105.5000,2964.0000,3034.5000,3166.0000,3240.5000,2533.0000,2471.5000,2459.5000,2525.0000,2515.5000,3141.5000,3110.5000,3038.0000
874.5000,867.5000,825.0000,846.0000,710.0000,716.5000,693.5000,560.5000,554.5000,716.5000,650.5000,551.5000,457.5000,432.5000,558.0000,446.0000,792.0000,732.0000,699.5000
591.0000,541.0000,490.0000,510.0000,450.5000,452.5000,409.5000,289.0000,257.0000,426.5000,314.5000,372.5000,212.0000,207.5000,358.5000,207.5000,483.5000,422.5000,460.0000
518.0000,473.0000,413.5000,439.0000,364.5000,386.0000,360.0000,218.5000,173.0000,389.5000,278.5000,319.5000,157.5000,156.0000,285.0000,149.0000,434.0000,331.5000,357.0000
558.5000,536.5000,477.5000,482.5000,423.5000,387.5000,341.5000,230.0000,235.0000,411.0000,281.5000,300.5000,199.0000,174.5000,321.5000,143.5000,455.0000,376.0000,386.0000
507.0000,492.5000,464.5000,458.0000,403.0000,380.5000,340.0000,229.5000,195.5000,391.5000,274.5000,296.5000,188.5000,157.5000,285.5000,167.0000,466.5000,412.5000,375.0000
