3333.csv,SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_14.csv,SP_15.csv,SP_16.csv,SP_17.csv,SP_18.csv,SP_19.csv,SP_20.csv,SP_21.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
7034.0000,10606.5000,8079.0000,7355.0000,8719.0000,7139.0000,6744.5000,9482.0000,8328.0000,7612.0000,7743.5000,8632.0000,7818.5000,8362.0000,11454.5000,9401.0000,8933.0000,11221.5000,10660.5000,10618.5000,12081.0000
6944.5000,10556.0000,7985.5000,7298.0000,8618.5000,7119.0000,6592.5000,9426.5000,8191.0000,7556.0000,7627.0000,8460.5000,7807.0000,8363.0000,11390.5000,9321.5000,8905.5000,11087.0000,10543.5000,10544.5000,12077.0000
7008.5000,10604.0000,8034.5000,7365.5000,8637.0000,7128.0000,6604.0000,9486.0000,8255.0000,7627.5000,7763.5000,8548.0000,7788.5000,8437.5000,11387.0000,9433.5000,8977.5000,11253.0000,10673.5000,10714.5000,12063.0000
7026.0000,10663.5000,8208.5000,7424.0000,8789.5000,7176.0000,6702.0000,9567.0000,8375.0000,7692.0000,7824.5000,8635.0000,7886.0000,8482.0000,11577.0000,9485.0000,8961.0000,11375.0000,10813.5000,10849.0000,12216.0000
6988.0000,10723.5000,8189.5000,7490.0000,8841.0000,7172.0000,6641.0000,9581.0000,8332.0000,7739.0000,7817.0000,8680.0000,7933.5000,8576.0000,11573.5000,9427.0000,9033.0000,11439.0000,10911.5000,10895.0000,12253.5000
7072.0000,10644.5000,8145.5000,7473.5000,8928.0000,7136.0000,6651.5000,9649.0000,8305.0000,7652.0000,7795.5000,8752.5000,7934.0000,8595.0000,11545.0000,9446.5000,9053.0000,11370.0000,10855.0000,10930.0000,12359.5000
6970.0000,10690.0000,8177.5000,7470.5000,8837.5000,7092.0000,6683.5000,9616.0000,8333.5000,7700.0000,7865.0000,8701.0000,7982.0000,8604.5000,11537.5000,9520.0000,8999.5000,11423.5000,10866.0000,10824.0000,12340.0000
7021.5000,10657.0000,8213.5000,7439.5000,8885.0000,7120.5000,6677.0000,9548.5000,8333.5000,7591.0000,7772.5000,8660.0000,7912.0000,8562.5000,11576.0000,9427.5000,9007.5000,11383.5000,10882.5000,10874.0000,12258.0000
6997.0000,10761.0000,8186.5000,7498.0000,8873.5000,7194.5000,6691.5000,9566.0000,8315.0000,7760.0000,7813.5000,8746.5000,7951.5000,8527.0000,11667.0000,9497.5000,8990.5000,11381.0000,10862.0000,10871.5000,12285.5000
6975.0000,10732.5000,8209.0000,7514.5000,8879.0000,7202.0000,6698.0000,9601.5000,8389.0000,7701.5000,7825.5000,8768.5000,7938.0000,8494.5000,11619.5000,9496.0000,9010.0000,11383.5000,10833.0000,10848.5000,12280.0000
6862.5000,10826.0000,8275.0000,7521.0000,8966.0000,7233.5000,6771.5000,9667.5000,8372.5000,7775.5000,7916.0000,8843.0000,7972.0000,8649.0000,11656.5000,9518.0000,9021.0000,11493.5000,10968.5000,10939.5000,12407.5000
6910.0000,10809.0000,8306.5000,7617.5000,9043.5000,7241.5000,6762.5000,9646.5000,8372.0000,7744.5000,7837.0000,8905.0000,8049.5000,8737.0000,11810.5000,9516.0000,9061.0000,11527.0000,10903.0000,10970.0000,12326.0000
6845.5000,10837.0000,8459.5000,7715.0000,9154.0000,7268.0000,6812.5000,9710.5000,8432.0000,7827.0000,7942.5000,8890.5000,8201.5000,8698.5000,11826.0000,9566.5000,9128.0000,11633.5000,11026.0000,11153.0000,12499.5000
6889.0000,10985.0000,8521.0000,7695.0000,9214.5000,7247.5000,6848.0000,9771.0000,8523.5000,7851.0000,8030.5000,8991.0000,8103.0000,8808.0000,11950.0000,9629.0000,9287.5000,11700.0000,11123.0000,11185.0000,12526.0000
6855.0000,11134.0000,8484.0000,7745.0000,9198.5000,7374.0000,6814.5000,9801.0000,8547.0000,7954.5000,8039.5000,9001.5000,8166.0000,8809.5000,11954.0000,9646.5000,9252.0000,11613.5000,11125.0000,11169.5000,12465.0000
7015.5000,11434.0000,8488.0000,7751.5000,9140.5000,7471.0000,7011.5000,9787.0000,8744.5000,8035.5000,8163.0000,9052.5000,8146.5000,8759.5000,12084.0000,9813.5000,9404.0000,11608.0000,10952.0000,11008.0000,12285.0000
6958.5000,11667.5000,8461.0000,7787.0000,9041.0000,7626.0000,7188.5000,9640.0000,8877.0000,8209.5000,8238.0000,8977.0000,8219.0000,8747.0000,12265.5000,10037.0000,9462.5000,11584.0000,11031.5000,10956.5000,12170.5000
6924.5000,12136.0000,8599.0000,7953.5000,9017.5000,7876.0000,7389.5000,9744.0000,9209.5000,8470.5000,8377.5000,9124.0000,8362.5000,8844.0000,12635.0000,10293.5000,9794.0000,11686.0000,11100.5000,10891.0000,12127.5000
6964.5000,13002.5000,8988.5000,8211.5000,9134.5000,8279.0000,7725.5000,9960.5000,9736.5000,9005.0000,8811.0000,9379.0000,8594.0000,9079.0000,13270.5000,10794.5000,10288.5000,12044.0000,11280.0000,11017.0000,12127.0000
6956.5000,14398.5000,9522.5000,8844.0000,9595.5000,9048.0000,8403.5000,10516.0000,10566.5000,9821.5000,9524.5000,10002.0000,9189.0000,9522.0000,14369.0000,11788.5000,11232.0000,12641.5000,11925.0000,11374.5000,12512.0000
6928.5000,16624.0000,10558.0000,9765.0000,10185.0000,10154.5000,9508.0000,11272.5000,11966.5000,11158.5000,10627.5000,10886.0000,10178.0000,10330.0000,16076.5000,13273.5000,12617.5000,13735.5000,12826.5000,12086.5000,13063.5000
6968.0000,19508.5000,11927.5000,11203.5000,11243.0000,11806.0000,11091.0000,12301.0000,13969.0000,12957.5000,12146.0000,12345.0000,11468.0000,11454.0000,18649.0000,15395.5000,14484.0000,15263.5000,14130.0000,13125.5000,13871.5000
6972.0000,23733.0000,13952.5000,13097.5000,12611.5000,14068.0000,13335.5000,13835.5000,16709.0000,15523.0000,14170.0000,14168.0000,13305.5000,13067.5000,22056.0000,18183.5000,17188.5000,17394.0000,15933.0000,14474.0000,15041.5000
7023.5000,28814.0000,16399.0000,15544.5000,14491.0000,16880.0000,15984.0000,15820.5000,20133.5000,18752.0000,16939.0000,16695.5000,15609.0000,15036.5000,26361.5000,21771.0000,20460.0000,19907.5000,18235.5000,16280.5000,16550.5000
6912.5000,34590.0000,19182.0000,18334.0000,16502.5000,20060.0000,19088.5000,18019.5000,23996.0000,22391.0000,19801.5000,19439.0000,18429.0000,17412.5000,31092.5000,25851.0000,24180.0000,22984.0000,20857.5000,18402.5000,18233.5000
6965.0000,40264.0000,22001.5000,21043.0000,18579.5000,23103.5000,22118.0000,20184.0000,27749.0000,25897.0000,22798.0000,22112.0000,20971.5000,19647.5000,35590.5000,29482.0000,27846.5000,25883.0000,23443.0000,20482.5000,19991.5000
7037.5000,44216.0000,24060.5000,23036.0000,20220.0000,25293.5000,24217.5000,21764.5000,30413.5000,28430.5000,25044.5000,24153.0000,22793.5000,21348.0000,39121.0000,32498.5000,30400.5000,28053.0000,25334.5000,21962.5000,21340.0000
6980.5000,45814.0000,25169.5000,23964.5000,21008.0000,26167.5000,25046.5000,22648.0000,31571.5000,29597.5000,25905.5000,24980.5000,23745.5000,22080.5000,40521.5000,33559.0000,31580.0000,28956.5000,26320.0000,22755.5000,21972.0000
7057.0000,44533.5000,24857.0000,23680.5000,20993.5000,25860.5000,24644.0000,22390.5000,30921.0000,28878.0000,25562.5000,24793.5000,23563.5000,21868.0000,39927.0000,32973.5000,30916.0000,28598.5000,26006.5000,22620.5000,21790.0000
7100.5000,41269.5000,23393.5000,22337.0000,19966.0000,24338.0000,23328.5000,21270.0000,28790.0000,27122.0000,24059.0000,23436.5000,22299.0000,20718.5000,37235.0000,30871.5000,29068.0000,27341.0000,24760.5000,21562.5000,21015.5000
7101.0000,36658.0000,21370.5000,20225.0000,18720.5000,22136.0000,21020.0000,19704.0000,25908.0000,24316.0000,21901.5000,21531.5000,20395.0000,18971.0000,33708.0000,27765.5000,26193.5000,25043.0000,22802.0000,20101.0000,19887.0000
7045.5000,31441.5000,18886.0000,17824.0000,16929.5000,19092.5000,18211.5000,17732.0000,22513.0000,21115.5000,19201.5000,19019.5000,18015.5000,16868.5000,29192.5000,23986.5000,22651.0000,22313.0000,20449.5000,18161.5000,18169.5000
7071.5000,26406.0000,16404.0000,15522.0000,15097.0000,16090.0000,15259.0000,15615.0000,19018.5000,17757.0000,16255.0000,16582.0000,15433.5000,14892.0000,24850.5000,20420.0000,19310.0000,19572.0000,17983.5000,16272.5000,16732.5000
7153.0000,21894.0000,14106.0000,13180.0000,13443.5000,13520.0000,12759.5000,13915.5000,15870.5000,14907.5000,13757.5000,14140.0000,13270.0000,12986.0000,20981.5000,17146.0000,16157.0000,17067.5000,15812.0000,14537.0000,15350.5000
