SP_41.csv,SP_42.csv,SP_43.csv,SP_44.csv,SP_45.csv,SP_46.csv,SP_47.csv,SP_48.csv,SP_49.csv,SP_50.csv,SP_51.csv,SP_52.csv,SP_53.csv,SP_54.csv,SP_55.csv
6753.5000,6489.0000,6586.5000,5948.0000,7468.5000,6954.5000,8081.0000,7505.0000,7417.0000,6231.0000,7108.0000,6371.0000,5935.5000,6888.0000,6411.0000
6707.0000,6415.5000,6510.0000,5872.5000,7382.0000,6898.0000,8016.0000,7471.0000,7456.0000,6095.0000,7004.5000,6255.5000,5911.5000,6779.0000,6411.0000
6786.5000,6414.0000,6533.0000,6011.5000,7430.0000,6971.0000,8130.0000,7443.0000,7408.0000,6190.5000,7065.0000,6306.5000,5862.5000,6903.5000,6395.5000
6755.5000,6407.5000,6686.5000,5992.0000,7399.0000,6950.0000,8105.0000,7464.0000,7485.5000,6189.0000,7082.0000,6347.5000,5926.5000,6931.0000,6489.5000
6787.5000,6407.5000,6592.5000,5958.5000,7400.0000,6967.5000,7999.5000,7462.0000,7397.5000,6170.0000,7048.5000,6364.5000,5952.5000,6880.0000,6485.0000
6808.0000,6376.5000,6527.5000,5993.5000,7453.0000,7048.0000,8042.5000,7497.0000,7505.5000,6132.5000,6990.0000,6333.5000,5927.0000,6786.0000,6423.5000
6782.0000,6445.5000,6584.0000,6049.5000,7444.0000,6923.0000,8036.5000,7477.5000,7500.5000,6171.5000,7008.5000,6331.5000,5897.5000,6930.0000,6443.0000
6802.0000,6371.5000,6568.0000,5979.5000,7533.0000,6929.0000,8068.0000,7481.0000,7429.0000,6222.5000,7039.5000,6391.5000,5913.0000,6876.5000,6514.5000
6843.0000,6467.5000,6592.5000,6001.0000,7466.5000,7002.0000,8132.5000,7523.5000,7514.0000,6230.5000,7081.0000,6304.0000,5991.0000,6955.5000,6472.0000
6827.0000,6447.5000,6572.5000,6040.0000,7410.5000,6954.5000,8139.5000,7556.5000,7476.5000,6250.0000,7117.0000,6361.5000,6029.0000,6991.5000,6452.5000
6835.5000,6590.5000,6637.5000,6029.0000,7457.5000,7013.5000,8179.0000,7540.5000,7571.5000,6303.0000,7167.5000,6397.5000,5981.5000,6961.5000,6537.0000
6844.5000,6460.5000,6545.0000,5985.5000,7551.5000,6995.0000,8145.5000,7543.5000,7516.5000,6262.5000,7086.0000,6367.0000,5964.0000,6999.5000,6492.0000
6836.5000,6449.5000,6562.0000,6006.5000,7510.0000,7069.0000,8139.0000,7551.5000,7515.5000,6255.0000,7120.0000,6438.5000,6005.0000,6962.0000,6467.5000
6932.5000,6539.0000,6659.0000,6049.5000,7585.5000,7121.5000,8229.5000,7598.0000,7576.5000,6270.5000,7159.0000,6463.5000,5983.5000,7043.5000,6622.0000
7023.0000,6585.5000,6691.5000,6083.0000,7618.5000,7064.5000,8231.0000,7701.0000,7698.5000,6301.5000,7277.5000,6488.5000,6127.5000,7069.5000,6703.0000
7187.0000,6760.0000,6798.5000,6207.0000,7856.0000,7274.5000,8523.0000,7925.0000,7786.5000,6392.0000,7417.0000,6663.0000,6234.5000,7236.0000,6780.5000
7340.0000,6930.0000,6866.0000,6243.0000,8005.5000,7467.0000,8789.5000,8184.0000,8018.0000,6485.5000,7670.5000,6857.0000,6425.5000,7372.0000,7002.0000
7581.5000,7184.5000,7017.5000,6420.0000,8309.0000,7758.5000,9122.5000,8467.5000,8280.0000,6693.0000,8006.0000,7065.5000,6653.0000,7726.5000,7291.0000
8054.0000,7574.0000,7441.0000,6714.0000,8734.0000,8203.5000,9811.0000,9014.0000,8831.5000,7010.5000,8580.5000,7549.5000,7020.5000,8179.5000,7778.5000
8776.0000,8363.0000,7964.5000,7101.0000,9563.0000,8958.0000,10782.0000,9971.0000,9624.0000,7497.5000,9364.0000,8303.0000,7745.5000,9038.5000,8501.5000
9996.5000,9459.5000,8782.5000,7995.5000,10920.5000,10203.0000,12332.5000,11418.0000,11034.5000,8256.0000,10853.5000,9358.5000,8917.0000,10292.5000,9795.0000
11665.5000,11049.5000,9849.0000,9051.0000,12599.0000,11873.5000,14587.0000,13507.0000,12820.5000,9388.0000,12706.0000,11174.0000,10484.5000,12222.0000,11423.0000
13870.5000,13296.0000,11379.5000,10497.0000,15125.0000,14163.0000,17546.0000,16309.0000,15342.5000,10898.5000,15383.0000,13374.0000,12595.0000,14573.5000,13776.5000
16831.5000,16041.0000,13366.0000,12373.0000,18158.5000,17101.5000,21246.0000,19859.5000,18444.0000,12778.0000,18701.0000,16173.5000,15380.5000,17635.0000,16597.0000
19899.0000,19013.0000,15607.0000,14479.0000,21488.0000,20233.5000,25579.5000,23862.5000,21929.5000,14882.0000,22313.0000,19493.5000,18426.0000,21206.0000,20016.5000
22976.0000,22113.0000,17794.0000,16527.0000,24848.0000,23418.0000,29488.5000,27496.5000,25269.0000,16877.0000,25855.5000,22654.0000,21393.0000,24322.0000,23037.0000
25195.0000,24234.0000,19458.0000,18050.0000,27238.5000,25691.0000,32427.0000,30352.5000,27766.5000,18453.5000,28418.0000,25011.5000,23560.5000,26831.0000,25440.5000
26345.5000,25223.5000,20176.0000,18921.5000,28312.0000,26847.5000,33689.5000,31517.0000,28776.5000,19176.5000,29531.5000,25964.5000,24633.5000,27862.0000,26459.0000
25917.0000,24927.5000,20167.5000,18686.0000,27961.0000,26464.0000,32991.0000,30865.5000,28294.5000,19104.0000,28935.0000,25519.5000,24355.5000,27441.0000,25957.0000
24475.0000,23397.5000,19097.5000,17873.5000,26194.5000,24853.5000,30791.5000,28991.5000,26581.5000,18030.0000,27122.0000,23915.5000,22824.5000,25666.5000,24142.0000
22250.5000,21228.5000,17706.0000,16473.0000,23720.5000,22532.0000,27546.0000,25951.5000,23955.5000,16604.5000,24367.0000,21640.0000,20626.0000,23103.0000,21918.5000
19332.0000,18504.0000,15726.5000,14652.0000,20600.0000,19485.5000,23645.0000,22358.0000,20923.0000,14761.5000,21074.5000,18793.5000,17747.0000,20187.0000,18934.5000
16356.5000,15689.5000,13709.5000,12691.0000,17543.0000,16575.0000,19972.5000,18662.0000,17687.0000,12741.5000,17598.0000,15900.0000,14939.5000,16999.0000,15990.0000
13724.5000,12988.0000,11653.5000,10771.5000,14590.5000,13754.0000,16507.0000,15534.0000,14763.5000,10841.5000,14579.5000,13103.0000,12343.5000,14074.0000,13275.0000
11386.0000,10797.0000,9910.0000,9127.5000,12156.5000,11544.5000,13729.0000,12822.5000,12326.0000,9232.0000,12159.0000,10885.0000,10176.5000,11797.5000,11035.0000
9785.5000,9201.0000,8619.5000,7965.5000,10525.0000,9866.5000,11830.5000,11072.5000,10628.5000,8170.0000,10355.0000,9267.0000,8726.5000,10063.5000,9390.5000
8742.5000,8277.0000,7909.0000,7223.5000,9468.5000,8917.5000,10595.5000,9911.5000,9469.0000,7472.5000,9338.0000,8305.5000,7751.5000,9033.0000,8409.0000
