SP_35.csv,SP_36.csv,SP_37.csv,SP_38.csv,SP_39.csv,SP_40.csv,SP_41.csv,SP_42.csv,SP_43.csv,SP_44.csv,SP_45.csv,SP_46.csv,SP_47.csv,SP_48.csv,SP_49.csv,SP_50.csv,SP_51.csv,SP_52.csv,SP_53.csv,SP_54.csv
73.5000,9.0000,32.0000,20.0000,37.0000,18.0000,41.5000,20.5000,11.0000,16.0000,13.5000,18.0000,25.5000,25.5000,29.0000,14.0000,55.5000,40.5000,36.0000,17.5000
39.5000,48.0000,33.0000,35.0000,31.0000,28.5000,41.5000,45.0000,24.0000,12.5000,27.0000,16.0000,19.5000,61.5000,35.5000,4.0000,40.5000,62.0000,4.5000,21.0000
26.5000,10.5000,25.5000,22.5000,7.5000,19.5000,44.5000,17.0000,29.5000,18.5000,40.5000,4.5000,27.5000,19.0000,23.0000,1.5000,32.5000,22.5000,6.0000,9.0000
19.5000,46.0000,42.5000,23.5000,66.0000,32.5000,25.5000,46.5000,58.0000,29.0000,36.5000,42.5000,56.0000,39.5000,18.5000,40.0000,32.0000,60.5000,55.5000,13.5000
82.0000,24.0000,67.5000,73.5000,39.0000,38.5000,60.5000,41.0000,40.0000,49.5000,28.5000,78.5000,31.5000,52.0000,36.0000,54.5000,68.5000,46.0000,59.0000,48.0000
38.0000,48.0000,52.0000,69.0000,43.0000,49.5000,68.0000,70.0000,37.5000,33.0000,28.5000,64.5000,45.0000,76.0000,46.5000,37.0000,70.0000,64.5000,64.0000,61.0000
58.5000,81.5000,93.0000,65.5000,82.0000,65.0000,89.5000,73.5000,53.5000,81.5000,98.0000,92.0000,69.0000,95.5000,106.0000,77.0000,91.0000,110.0000,64.0000,87.5000
51.5000,46.0000,37.0000,53.0000,62.5000,47.5000,76.0000,61.5000,68.0000,61.0000,68.5000,52.0000,58.0000,60.0000,65.0000,85.0000,84.0000,68.0000,87.5000,45.5000
80.5000,79.0000,82.0000,97.5000,80.5000,115.0000,87.0000,83.0000,91.0000,93.5000,82.5000,130.5000,85.0000,106.0000,91.5000,108.0000,110.5000,98.5000,96.0000,68.0000
63.5000,78.0000,89.0000,90.5000,92.0000,88.0000,89.0000,85.5000,74.5000,68.0000,129.0000,104.5000,98.0000,103.5000,98.0000,61.5000,85.5000,92.0000,103.0000,96.0000
179.0000,178.0000,159.0000,190.0000,185.5000,165.0000,198.0000,197.5000,174.5000,197.5000,218.5000,231.0000,207.5000,198.0000,196.0000,197.0000,202.0000,210.5000,202.0000,216.5000
958.0000,948.5000,942.5000,933.5000,956.0000,998.5000,973.5000,1043.5000,926.5000,878.0000,1005.0000,993.5000,997.5000,1030.0000,980.0000,997.5000,1055.0000,1082.5000,1020.5000,1055.5000
4003.0000,3942.5000,3981.0000,3756.5000,3894.0000,4016.5000,4055.0000,3908.5000,3781.5000,3836.0000,4280.0000,4212.5000,4191.5000,4172.0000,4198.5000,4159.5000,4329.0000,4414.0000,4367.0000,4454.5000
6314.5000,6087.5000,6148.0000,6010.0000,6119.5000,6117.5000,6103.0000,6063.5000,6133.0000,6203.0000,6460.5000,6659.5000,6479.0000,6568.0000,6700.5000,6631.5000,6815.0000,6994.5000,6982.0000,6987.0000
8590.0000,8172.5000,8345.5000,8187.5000,8545.5000,8421.0000,8366.0000,8593.5000,8734.0000,8597.0000,8969.5000,9241.5000,9255.0000,9139.0000,9313.5000,9165.0000,9226.5000,9373.5000,9299.0000,9275.5000
