SP_14.csv,SP_15.csv,SP_16.csv,SP_17.csv,SP_18.csv,SP_19.csv,SP_20.csv,SP_21.csv,SP_22.csv,SP_23.csv,SP_24.csv,SP_25.csv,SP_26.csv,SP_27.csv
7655.5000,6484.0000,6031.5000,5704.5000,5874.0000,5821.5000,5836.0000,5335.0000,5182.5000,5323.0000,5306.5000,6832.5000,6255.5000,5745.5000
7597.0000,6587.0000,6203.0000,5694.0000,5858.5000,5847.0000,5784.0000,5279.0000,5253.0000,5295.0000,5342.0000,6753.0000,6205.0000,5758.0000
7696.5000,6593.0000,6127.5000,5730.5000,5917.0000,5808.0000,5904.5000,5345.0000,5279.0000,5333.0000,5318.5000,6896.0000,6309.0000,5867.0000
7781.0000,6578.5000,6099.5000,5862.5000,5886.5000,5860.0000,5829.0000,5317.0000,5229.0000,5294.5000,5324.5000,6811.0000,6277.5000,5798.0000
7844.0000,6651.5000,6130.0000,5834.0000,5964.5000,5807.0000,5925.5000,5385.0000,5292.0000,5358.5000,5405.5000,6902.5000,6282.0000,5821.0000
7766.0000,6676.5000,6244.5000,5866.5000,5979.5000,5878.0000,5989.0000,5436.5000,5352.5000,5419.0000,5394.5000,6930.0000,6241.5000,5854.5000
7879.0000,6789.5000,6244.0000,5870.5000,5973.0000,5847.5000,6023.0000,5417.0000,5390.0000,5390.0000,5428.0000,6956.5000,6321.0000,5890.0000
7843.0000,6690.5000,6208.5000,5842.5000,5953.5000,5879.0000,6011.0000,5365.5000,5446.5000,5423.5000,5424.0000,7018.0000,6325.0000,5901.0000
7842.0000,6675.5000,6216.0000,5865.5000,5986.0000,5829.0000,6068.5000,5413.5000,5370.5000,5378.0000,5408.0000,7010.5000,6341.0000,5938.5000
7894.0000,6724.0000,6218.0000,5842.0000,5967.5000,5898.0000,6011.0000,5344.0000,5299.0000,5410.0000,5374.5000,6952.0000,6389.5000,5873.0000
7889.5000,6686.5000,6246.0000,5882.0000,5968.5000,5849.0000,5980.5000,5383.0000,5341.0000,5481.0000,5372.0000,6965.5000,6371.0000,5877.0000
