SP_40.csv,SP_41.csv,SP_42.csv,SP_43.csv,SP_44.csv,SP_45.csv,SP_46.csv,SP_47.csv,SP_48.csv,SP_49.csv,SP_50.csv,SP_51.csv,SP_52.csv,SP_53.csv,SP_54.csv,SP_55.csv,SP_56.csv,SP_57.csv
182.5000,158.0000,46.0000,33.5000,36.0000,33.0000,210.0000,68.0000,178.5000,231.0000,271.0000,138.5000,197.0000,72.5000,185.0000,202.5000,194.5000,66.0000
198.0000,205.5000,40.0000,63.5000,49.5000,43.0000,202.0000,72.5000,153.5000,267.5000,228.5000,140.0000,228.0000,97.5000,190.0000,225.0000,199.5000,87.5000
195.5000,167.5000,42.5000,20.0000,17.0000,45.5000,194.5000,75.0000,170.0000,239.0000,240.5000,141.5000,185.0000,73.5000,176.5000,211.5000,211.0000,64.0000
203.5000,169.0000,45.5000,73.0000,35.5000,40.0000,197.0000,86.5000,196.0000,262.5000,245.5000,130.5000,194.0000,62.5000,164.0000,223.0000,208.5000,86.0000
213.0000,178.0000,76.5000,60.0000,60.0000,72.0000,235.0000,122.5000,218.0000,285.0000,287.0000,175.5000,245.0000,114.5000,215.5000,218.0000,238.0000,101.0000
216.5000,196.5000,66.5000,67.5000,60.5000,51.5000,233.0000,81.0000,188.5000,263.5000,243.5000,179.5000,238.0000,83.5000,201.5000,248.5000,235.0000,90.0000
201.5000,162.5000,58.5000,77.5000,35.5000,36.5000,202.0000,88.0000,198.0000,274.0000,259.5000,168.0000,207.5000,110.0000,211.5000,206.0000,213.5000,92.5000
232.5000,198.0000,101.0000,71.5000,64.0000,68.5000,241.5000,89.0000,198.5000,331.5000,279.5000,157.5000,235.5000,105.0000,213.5000,254.5000,228.0000,129.5000
278.5000,226.5000,128.0000,112.5000,123.5000,88.5000,295.0000,171.5000,266.5000,344.0000,317.5000,223.5000,288.5000,167.5000,280.0000,292.5000,310.5000,158.5000
287.0000,250.5000,100.5000,119.0000,114.5000,105.0000,281.0000,178.0000,236.5000,336.0000,309.5000,226.5000,287.5000,137.5000,223.5000,295.5000,282.0000,143.0000
334.5000,277.5000,155.5000,169.5000,118.0000,159.0000,299.0000,251.0000,324.5000,386.5000,379.0000,312.0000,335.0000,191.0000,306.5000,341.0000,308.0000,227.5000
829.5000,823.5000,744.5000,730.5000,712.0000,733.0000,897.0000,786.5000,901.0000,927.5000,958.0000,833.5000,841.5000,713.0000,837.5000,921.5000,946.0000,814.5000
3222.0000,3416.5000,3280.0000,3304.0000,3201.0000,3325.5000,3435.0000,3259.5000,3591.0000,3239.0000,3337.5000,3308.0000,3114.0000,3110.0000,3190.0000,3516.0000,3615.5000,3625.0000
5384.5000,5591.5000,5495.0000,5613.5000,5376.5000,5548.5000,5635.0000,5507.0000,5867.0000,5380.0000,5676.0000,5701.5000,5531.0000,5457.0000,5638.5000,6085.5000,6290.0000,6045.5000
7439.0000,7413.5000,7223.0000,7222.5000,7190.0000,7456.5000,7560.5000,7652.5000,7877.0000,7426.5000,7579.5000,7757.5000,7428.0000,7491.5000,7461.0000,8344.5000,8347.5000,8237.0000
10888.0000,11039.0000,10922.5000,11009.0000,11081.5000,11338.0000,11296.0000,11618.5000,11415.5000,11081.5000,11005.5000,10912.5000,10873.5000,10971.0000,10895.0000,12137.0000,12044.5000,11954.0000
8173.0000,8022.5000,8058.5000,8100.5000,8046.5000,8055.0000,8327.5000,8105.5000,8222.0000,8027.5000,8101.0000,7865.5000,8047.0000,7995.5000,8111.5000,8802.0000,8757.0000,8650.0000
3103.0000,3043.5000,2993.0000,2887.5000,2839.5000,2982.0000,3092.5000,2930.0000,2976.0000,2976.5000,2986.5000,2954.5000,3080.5000,2974.0000,3101.5000,3232.0000,3145.5000,3055.0000
675.0000,620.0000,510.0000,490.0000,473.0000,501.0000,671.0000,550.0000,598.5000,722.5000,702.0000,631.0000,655.0000,526.0000,652.5000,680.0000,655.0000,532.0000
374.5000,328.5000,200.0000,202.5000,212.0000,244.0000,402.5000,248.5000,356.0000,457.5000,451.0000,348.5000,425.5000,252.5000,353.5000,387.5000,393.0000,243.5000
308.5000,264.5000,123.0000,144.5000,111.5000,126.0000,303.0000,219.5000,263.0000,373.5000,349.0000,269.5000,306.0000,176.0000,269.5000,325.5000,332.0000,197.0000
317.0000,278.5000,186.5000,156.5000,149.5000,144.5000,354.5000,252.0000,298.5000,434.5000,439.0000,307.0000,323.0000,196.5000,281.0000,337.5000,350.5000,196.0000
303.5000,279.0000,136.5000,156.0000,122.5000,143.0000,318.5000,203.0000,275.5000,409.0000,374.5000,287.5000,316.5000,174.0000,288.5000,338.0000,317.0000,195.5000
271.5000,260.5000,103.5000,118.0000,86.0000,118.0000,299.5000,175.5000,259.0000,387.5000,388.5000,246.5000,298.0000,146.5000,258.0000,300.5000,280.5000,157.0000
330.5000,269.5000,152.5000,154.5000,145.5000,104.5000,320.0000,184.5000,284.0000,430.5000,392.0000,299.0000,323.0000,173.5000,315.5000,338.5000,304.0000,211.0000
321.0000,268.0000,146.5000,134.0000,179.0000,130.5000,357.0000,216.0000,289.5000,437.5000,415.5000,274.0000,334.5000,192.0000,289.0000,334.5000,320.0000,171.0000
310.0000,284.5000,145.0000,136.0000,128.5000,144.0000,336.5000,173.0000,281.5000,433.0000,392.0000,289.5000,320.5000,191.5000,287.5000,317.5000,312.5000,173.5000
350.0000,295.5000,169.0000,186.0000,138.0000,149.0000,363.5000,209.0000,303.0000,480.0000,435.0000,309.0000,354.5000,224.0000,292.5000,375.5000,357.5000,205.5000
330.0000,298.0000,156.0000,160.5000,135.5000,143.0000,307.5000,206.5000,279.0000,454.0000,399.0000,316.5000,356.5000,191.0000,321.0000,344.5000,325.5000,224.5000
309.0000,269.0000,153.5000,140.5000,135.5000,148.0000,348.0000,200.0000,299.5000,458.0000,438.5000,312.5000,330.0000,197.5000,287.0000,318.0000,315.5000,160.5000
289.5000,272.5000,129.5000,104.5000,120.5000,101.0000,296.0000,190.0000,301.0000,462.5000,358.5000,311.0000,329.5000,168.0000,294.5000,350.0000,297.0000,198.0000
370.0000,291.5000,180.0000,169.5000,162.0000,146.5000,383.5000,227.0000,306.5000,498.5000,465.5000,359.0000,404.5000,242.0000,304.5000,398.0000,345.0000,231.5000
341.0000,287.5000,140.5000,155.0000,125.0000,119.0000,356.0000,218.0000,279.5000,485.5000,443.0000,351.5000,351.0000,209.0000,294.0000,376.0000,306.0000,201.5000
369.0000,334.0000,187.0000,173.5000,172.5000,168.0000,384.0000,279.0000,336.5000,555.0000,530.0000,387.5000,402.0000,261.5000,348.0000,409.0000,378.5000,235.0000
344.5000,295.0000,168.5000,147.5000,134.5000,118.5000,353.5000,215.5000,312.0000,542.5000,483.5000,385.0000,407.0000,244.5000,330.5000,364.0000,332.0000,220.0000
375.5000,324.5000,205.5000,175.5000,185.0000,156.5000,413.0000,258.5000,340.5000,578.0000,538.5000,366.5000,442.0000,247.0000,345.5000,416.5000,394.0000,250.5000
393.5000,342.0000,197.5000,178.0000,201.5000,172.0000,411.5000,273.5000,333.5000,586.5000,511.0000,414.5000,446.0000,250.5000,329.0000,397.5000,381.5000,267.0000
441.5000,376.5000,264.5000,233.5000,221.0000,228.0000,490.5000,347.0000,414.5000,636.5000,598.5000,478.0000,488.5000,349.0000,395.5000,481.5000,434.0000,322.5000
421.5000,368.5000,234.5000,204.5000,191.0000,195.0000,463.5000,290.0000,358.0000,653.5000,563.5000,459.0000,459.0000,286.5000,370.5000,445.5000,424.5000,319.0000
