SP_1.csv,SP_10.csv,SP_11.csv,SP_12.csv,SP_13.csv,SP_2.csv,SP_3.csv,SP_4.csv,SP_5.csv,SP_6.csv,SP_7.csv,SP_8.csv,SP_9.csv
64290.5000,60483.0000,64290.5000,63809.5000,56994.0000,58127.5000,51298.5000,47794.5000,45756.0000,64290.5000,62599.0000,55934.0000,60683.0000
64552.5000,60135.5000,64552.5000,63820.0000,56909.5000,58023.0000,50988.0000,47805.5000,45679.0000,64552.5000,62739.0000,55802.0000,60690.5000
64576.0000,60700.0000,64576.0000,64157.0000,57553.0000,58532.5000,51523.5000,48293.0000,46143.0000,64576.0000,62993.0000,56154.5000,61066.5000
64441.0000,61696.0000,64441.0000,64441.0000,58541.0000,59538.0000,52451.0000,49004.0000,47023.0000,64441.0000,63523.0000,57263.5000,61625.0000
64537.5000,62070.0000,64537.5000,64537.5000,59367.0000,60312.5000,53235.0000,49948.0000,47754.0000,64537.5000,64035.0000,58218.5000,62223.0000
64542.0000,62371.5000,64542.0000,64542.0000,60028.5000,60971.0000,53744.0000,50370.5000,48103.0000,64542.0000,64506.0000,58995.0000,62521.5000
64542.5000,62466.5000,64542.5000,64542.5000,60311.0000,61126.5000,54015.0000,50787.0000,48547.0000,64542.5000,64542.5000,59204.5000,62552.5000
64582.5000,62452.0000,64582.5000,64582.5000,60096.0000,60931.0000,53745.5000,50261.5000,48137.0000,64582.5000,64531.0000,58858.0000,62355.5000
64591.0000,62172.5000,64591.0000,64591.0000,59687.0000,60565.5000,53421.0000,50027.0000,47844.5000,64591.0000,64175.5000,58388.5000,62222.0000
64573.5000,61940.0000,64573.5000,64573.5000,59347.5000,60264.5000,53068.5000,49688.5000,47707.5000,64573.5000,64112.5000,58101.5000,62095.0000
64528.0000,62183.0000,64528.0000,64528.0000,59885.0000,60974.5000,53606.5000,50155.5000,47795.5000,64528.0000,64351.5000,58808.0000,62254.5000
64533.5000,62804.0000,64533.5000,64533.5000,60815.5000,62095.0000,54664.5000,51053.5000,49009.0000,64533.5000,64533.5000,60027.0000,62785.0000
64590.5000,63228.0000,64590.5000,64590.5000,62299.0000,63016.0000,55691.0000,52173.0000,49875.0000,64590.5000,64590.5000,61151.0000,63480.5000
64579.0000,63473.0000,64579.0000,64579.0000,62450.0000,62950.0000,55822.0000,52150.0000,50069.5000,64579.0000,64579.0000,61182.5000,63426.5000
64561.5000,62987.0000,64561.5000,64561.5000,61621.0000,62424.5000,55130.0000,51523.0000,49300.0000,64561.5000,64561.5000,60235.5000,62915.0000
64591.5000,62147.0000,64591.5000,64591.5000,59490.0000,60536.5000,53380.5000,50019.5000,47930.5000,64591.5000,64184.5000,58438.5000,62120.5000
64565.5000,60161.5000,64565.5000,63869.5000,57251.5000,58158.5000,51326.5000,48063.0000,45884.0000,64565.5000,62848.5000,56054.0000,60358.5000
64568.0000,58246.5000,64568.0000,62871.5000,55171.0000,56144.5000,49336.5000,46298.0000,44301.5000,64568.0000,61733.0000,53950.0000,58567.5000
64573.0000,56714.0000,64573.0000,61922.0000,53521.5000,54262.0000,47798.5000,44850.5000,42915.5000,63929.0000,60522.5000,52406.5000,56925.0000
64557.0000,55560.5000,64557.0000,61293.0000,52452.5000,53336.5000,46794.0000,43874.0000,42083.0000,63144.5000,59466.5000,51238.0000,55807.5000
64519.0000,54788.5000,64519.0000,60431.5000,51565.0000,52245.0000,46102.5000,43013.0000,41375.0000,62806.5000,58659.0000,50460.0000,55010.5000
64562.0000,54123.0000,64562.0000,59951.5000,51176.5000,52070.5000,45753.5000,42945.5000,41061.0000,62726.5000,58100.5000,50042.0000,54565.5000
64580.5000,53943.5000,64580.5000,59849.5000,50966.5000,51747.5000,45425.0000,42753.0000,40921.5000,62466.5000,57923.0000,49941.5000,54197.5000
64518.0000,54148.0000,64518.0000,60278.5000,51367.5000,52108.5000,45654.5000,42974.0000,41138.0000,62659.0000,58205.5000,50118.0000,54557.5000
64518.5000,54823.0000,64518.5000,61102.5000,52196.0000,52842.5000,46507.0000,43589.0000,41741.0000,63308.5000,59211.5000,51028.0000,55140.5000
64527.5000,55928.5000,64527.5000,61745.0000,53406.5000,53780.5000,47434.5000,44364.5000,42550.5000,63929.5000,60710.0000,51954.5000,56290.5000
64602.0000,56723.5000,64602.0000,62360.0000,54209.5000,54829.0000,48215.0000,45165.5000,43231.0000,64478.0000,61315.5000,53222.0000,57266.5000
64515.5000,57068.0000,64515.5000,62484.0000,54567.0000,55298.5000,48710.0000,45609.5000,43770.0000,64515.5000,61630.0000,53364.0000,57464.5000
64501.0000,56724.5000,64501.0000,62268.5000,54585.5000,55173.0000,48449.5000,45610.5000,43393.0000,64472.5000,61272.0000,53298.5000,57333.0000
64566.5000,56143.0000,64566.5000,61850.0000,53504.5000,54441.0000,48021.0000,44924.0000,43126.5000,63884.5000,60718.5000,52661.5000,56571.0000
64564.5000,55230.5000,64564.5000,61343.5000,52742.5000,53526.5000,47335.0000,44239.0000,42436.0000,63432.5000,59712.0000,51712.0000,55737.0000
64525.5000,54719.0000,64525.5000,60827.5000,52150.5000,53114.0000,46763.0000,43768.5000,41855.0000,63110.5000,59087.5000,51063.5000,55160.0000
64513.0000,55013.0000,64513.0000,61239.0000,52414.5000,53210.0000,46977.0000,43962.0000,42098.0000,63269.5000,59448.0000,51358.0000,55525.5000
64515.0000,56112.0000,64515.0000,61844.5000,53420.0000,54118.0000,47752.5000,44502.0000,42756.0000,64027.0000,60488.5000,52156.5000,56407.5000
64583.0000,57215.0000,64583.0000,62356.0000,54437.0000,55202.5000,48514.5000,45431.0000,43537.5000,64583.0000,61559.0000,53494.0000,57636.5000
64539.0000,57485.5000,64539.0000,62502.0000,54492.0000,55182.0000,48614.5000,45416.5000,43502.5000,64539.0000,61492.5000,53322.5000,57650.5000
64542.0000,55636.5000,64542.0000,61516.5000,52988.0000,53711.0000,47265.5000,44137.5000,42081.0000,63897.0000,60154.0000,51819.5000,56177.5000
64582.5000,53479.0000,64504.5000,59665.0000,50679.0000,51492.5000,45274.0000,42555.0000,40624.5000,62507.5000,57905.5000,49683.0000,53924.0000
64201.5000,51646.0000,63225.5000,57560.5000,49185.5000,49856.0000,44026.0000,41110.5000,39324.5000,61308.5000,55485.0000,48021.0000,52215.5000
63434.5000,50628.5000,62584.5000,56146.0000,47829.5000,48788.0000,42883.5000,40267.0000,38372.0000,60548.0000,54162.5000,46823.5000,50937.5000
63048.5000,50051.5000,62172.0000,55308.5000,47068.5000,48126.0000,42290.0000,39631.0000,37875.5000,59822.0000,53306.5000,46128.0000,50250.0000
62545.0000,49163.5000,61200.5000,54424.5000,46636.5000,47193.5000,41623.0000,38882.5000,37174.5000,58917.0000,52580.0000,45365.0000,49618.0000
62223.5000,48664.5000,60585.0000,53999.5000,46075.0000,46791.5000,41063.0000,38569.5000,36849.5000,58262.5000,52182.5000,44952.0000,48866.0000
61928.5000,48269.0000,60069.0000,53335.5000,45415.5000,46148.0000,40698.0000,38100.0000,36411.0000,57985.0000,51691.5000,44568.5000,48536.0000
61613.0000,47957.5000,59491.0000,52854.0000,45031.5000,45885.5000,40123.5000,37624.0000,35975.0000,57363.0000,51132.5000,44221.0000,48012.0000
